Tm,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty
San Diego Chargers,0.0,2.0,0.0,60.0,0.0,0.0,0.0
Chicago Bears,1.0,4.0,0.0,51.0,0.0,0.0,3.0
Cincinnati Bengals,0.0,2.0,0.0,53.0,0.0,0.0,1.0
Miami Dolphins,1.0,1.0,0.0,52.0,0.0,0.0,0.0
San Francisco 49ers,3.0,1.0,0.0,53.0,0.0,0.0,1.0
New York Giants,0.0,2.0,0.0,48.0,0.0,0.0,0.0
New York Jets,1.0,1.0,0.0,45.0,0.0,0.0,1.0
Denver Broncos,0.0,1.0,1.0,45.0,0.0,0.0,0.0
Pittsburgh Steelers,0.0,1.0,0.0,40.0,0.0,0.0,0.0
New England Patriots,3.0,1.0,0.0,41.0,0.0,0.0,2.0
Dallas Cowboys,0.0,4.0,1.0,43.0,0.0,0.0,0.0
Los Angeles Raiders,1.0,3.0,0.0,42.0,0.0,0.0,1.0
Seattle Seahawks,1.0,3.0,3.0,44.0,0.0,0.0,1.0
Minnesota Vikings,1.0,1.0,0.0,43.0,0.0,0.0,1.0
Los Angeles Rams,0.0,4.0,0.0,39.0,0.0,0.0,1.0
Green Bay Packers,1.0,2.0,0.0,40.0,0.0,0.0,1.0
Indianapolis Colts,1.0,0.0,0.0,39.0,0.0,0.0,1.0
Kansas City Chiefs,1.0,1.0,0.0,35.0,0.0,0.0,0.0
Detroit Lions,0.0,0.0,0.0,33.0,0.0,0.0,0.0
Washington Redskins,0.0,0.0,0.0,33.0,0.0,0.0,1.0
Tampa Bay Buccaneers,0.0,0.0,0.0,33.0,0.0,0.0,0.0
New Orleans Saints,2.0,2.0,1.0,29.0,0.0,0.0,0.0
Cleveland Browns,0.0,1.0,0.0,35.0,0.0,0.0,0.0
Philadelphia Eagles,1.0,2.0,0.0,30.0,0.0,0.0,1.0
Houston Oilers,0.0,0.0,1.0,32.0,0.0,0.0,0.0
Atlanta Falcons,1.0,1.0,0.0,30.0,0.0,0.0,0.0
St. Louis Cardinals,0.0,1.0,0.0,34.0,0.0,0.0,1.0
Buffalo Bills,1.0,0.0,0.0,23.0,0.0,0.0,0.0
Avg Team,0.7,1.5,0.3,40.17857142857143,0.0,0.0,0.6
