Tm,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty
San Diego Chargers,0.0,1.0,0.0,61.0,0.0,0.0,0.0
Atlanta Falcons,4.0,3.0,0.0,52.0,0.0,0.0,0.0
Cincinnati Bengals,1.0,1.0,0.0,51.0,0.0,0.0,0.0
Detroit Lions,0.0,1.0,0.0,46.0,0.0,0.0,0.0
Philadelphia Eagles,2.0,0.0,0.0,44.0,0.0,0.0,1.0
Dallas Cowboys,1.0,0.0,0.0,40.0,0.0,0.0,3.0
San Francisco 49ers,1.0,4.0,0.0,43.0,0.0,0.0,0.0
Pittsburgh Steelers,0.0,1.0,0.0,47.0,0.0,0.0,0.0
New York Jets,1.0,2.0,0.0,40.0,0.0,0.0,1.0
Washington Redskins,0.0,2.0,0.0,42.0,0.0,0.0,0.0
Miami Dolphins,1.0,0.0,0.0,39.0,0.0,0.0,1.0
Kansas City Chiefs,3.0,1.0,0.0,38.0,0.0,0.0,0.0
Minnesota Vikings,1.0,0.0,0.0,37.0,0.0,0.0,3.0
Green Bay Packers,0.0,1.0,0.0,37.0,0.0,0.0,0.0
Seattle Seahawks,2.0,3.0,0.0,40.0,0.0,0.0,0.0
New England Patriots,0.0,0.0,0.0,40.0,0.0,0.0,0.0
Denver Broncos,0.0,0.0,0.0,39.0,0.0,0.0,0.0
Tampa Bay Buccaneers,1.0,4.0,0.0,38.0,0.0,0.0,0.0
St. Louis Cardinals,0.0,1.0,0.0,37.0,0.0,0.0,0.0
Buffalo Bills,0.0,0.0,0.0,38.0,0.0,0.0,2.0
Los Angeles Rams,1.0,0.0,0.0,36.0,0.0,0.0,0.0
New York Giants,3.0,1.0,1.0,32.0,0.0,0.0,0.0
Houston Oilers,0.0,0.0,0.0,34.0,0.0,0.0,0.0
Cleveland Browns,0.0,0.0,0.0,32.0,0.0,0.0,1.0
Oakland Raiders,2.0,1.0,0.0,33.0,0.0,0.0,3.0
Baltimore Colts,1.0,0.0,0.0,33.0,0.0,0.0,1.0
Chicago Bears,0.0,3.0,0.0,31.0,0.0,0.0,1.0
New Orleans Saints,0.0,0.0,0.0,24.0,0.0,0.0,0.0
Avg Team,0.9,1.1,0.0,39.42857142857143,0.0,0.0,0.6
