Tm,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty
San Francisco 49ers,2.0,3.0,0.0,61.0,0.0,0.0,0.0
Dallas Cowboys,0.0,1.0,0.0,41.0,0.0,0.0,0.0
Denver Broncos,1.0,1.0,0.0,42.0,0.0,0.0,1.0
Houston Oilers,3.0,3.0,0.0,40.0,0.0,0.0,1.0
Miami Dolphins,0.0,1.0,0.0,40.0,0.0,0.0,0.0
Green Bay Packers,1.0,0.0,0.0,35.0,0.0,0.0,1.0
Buffalo Bills,1.0,3.0,0.0,37.0,0.0,0.0,1.0
Kansas City Chiefs,2.0,0.0,1.0,37.0,0.0,0.0,0.0
Phoenix Cardinals,2.0,1.0,0.0,37.0,0.0,0.0,2.0
San Diego Chargers,0.0,1.0,0.0,33.0,0.0,0.0,0.0
New Orleans Saints,2.0,0.0,0.0,33.0,0.0,0.0,1.0
Atlanta Falcons,1.0,0.0,0.0,34.0,0.0,0.0,0.0
Pittsburgh Steelers,2.0,1.0,0.0,32.0,0.0,0.0,0.0
Los Angeles Raiders,0.0,1.0,0.0,29.0,0.0,0.0,0.0
Cleveland Browns,1.0,1.0,0.0,36.0,0.0,0.0,2.0
Detroit Lions,2.0,1.0,0.0,28.0,0.0,0.0,0.0
Philadelphia Eagles,1.0,4.0,0.0,35.0,0.0,0.0,2.0
New York Giants,0.0,1.0,0.0,30.0,0.0,0.0,1.0
Seattle Seahawks,2.0,1.0,0.0,29.0,0.0,0.0,4.0
Minnesota Vikings,0.0,2.0,0.0,28.0,0.0,0.0,2.0
New York Jets,0.0,1.0,0.0,31.0,0.0,0.0,1.0
New England Patriots,0.0,0.0,0.0,26.0,0.0,0.0,0.0
Tampa Bay Buccaneers,0.0,2.0,0.0,27.0,0.0,0.0,0.0
Chicago Bears,2.0,2.0,1.0,22.0,0.0,0.0,0.0
Washington Redskins,2.0,2.0,0.0,26.0,0.0,0.0,1.0
Los Angeles Rams,1.0,0.0,0.0,25.0,0.0,0.0,0.0
Indianapolis Colts,2.0,0.0,0.0,16.0,0.0,0.0,0.0
Cincinnati Bengals,0.0,2.0,0.0,16.0,0.0,0.0,3.0
Avg Team,1.1,1.3,0.1,32.357142857142854,0.0,0.0,0.8
