Tm,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty
Washington Redskins,3.0,1.0,0.0,63.0,0.0,0.0,1.0
Dallas Cowboys,3.0,2.0,1.0,59.0,0.0,0.0,1.0
Los Angeles Raiders,2.0,2.0,0.0,54.0,0.0,0.0,2.0
San Francisco 49ers,1.0,5.0,0.0,51.0,0.0,0.0,0.0
Green Bay Packers,2.0,1.0,0.0,52.0,0.0,0.0,1.0
Seattle Seahawks,2.0,2.0,0.0,50.0,0.0,0.0,0.0
Miami Dolphins,0.0,3.0,0.0,48.0,0.0,0.0,1.0
Kansas City Chiefs,1.0,2.0,0.0,45.0,0.0,0.0,0.0
St. Louis Cardinals,3.0,0.0,0.0,47.0,0.0,0.0,1.0
Atlanta Falcons,2.0,2.0,0.0,46.0,0.0,0.0,0.0
Los Angeles Rams,0.0,3.0,0.0,47.0,0.0,0.0,2.0
San Diego Chargers,0.0,1.0,1.0,45.0,0.0,0.0,0.0
Cleveland Browns,0.0,2.0,0.0,42.0,0.0,0.0,0.0
Pittsburgh Steelers,3.0,4.0,0.0,39.0,0.0,0.0,1.0
Detroit Lions,0.0,0.0,0.0,38.0,0.0,0.0,3.0
Cincinnati Bengals,1.0,4.0,0.0,43.0,0.0,0.0,0.0
New Orleans Saints,2.0,3.0,0.0,38.0,0.0,0.0,0.0
Minnesota Vikings,1.0,0.0,1.0,34.0,0.0,0.0,2.0
New York Jets,1.0,3.0,1.0,38.0,0.0,0.0,0.0
Chicago Bears,1.0,2.0,0.0,39.0,0.0,0.0,0.0
Denver Broncos,1.0,0.0,0.0,34.0,0.0,0.0,1.0
Houston Oilers,0.0,0.0,0.0,34.0,0.0,0.0,0.0
Buffalo Bills,1.0,1.0,0.0,36.0,0.0,0.0,0.0
New England Patriots,0.0,1.0,0.0,36.0,0.0,0.0,0.0
New York Giants,1.0,1.0,0.0,23.0,0.0,0.0,1.0
Baltimore Colts,2.0,1.0,0.0,25.0,0.0,0.0,1.0
Tampa Bay Buccaneers,1.0,3.0,0.0,31.0,0.0,0.0,0.0
Philadelphia Eagles,0.0,0.0,0.0,27.0,0.0,0.0,1.0
Avg Team,1.2,1.8,0.1,41.57142857142857,0.0,0.0,0.7
