Tm,FmbTD,IntTD,OthTD,AllTD,2PM,2PA,Sfty
San Francisco 49ers,1.0,4.0,0.0,66.0,2.0,3.0,0.0
Dallas Cowboys,0.0,3.0,0.0,50.0,0.0,2.0,0.0
Miami Dolphins,0.0,1.0,0.0,45.0,6.0,10.0,0.0
Green Bay Packers,0.0,1.0,0.0,47.0,1.0,3.0,0.0
San Diego Chargers,0.0,3.0,0.0,40.0,3.0,7.0,0.0
Detroit Lions,1.0,2.0,0.0,43.0,2.0,3.0,1.0
Minnesota Vikings,3.0,4.0,0.0,36.0,4.0,5.0,0.0
New England Patriots,1.0,1.0,0.0,39.0,0.0,2.0,0.0
New Orleans Saints,2.0,1.0,0.0,38.0,2.0,6.0,0.0
Denver Broncos,0.0,0.0,0.0,37.0,3.0,7.0,0.0
Cleveland Browns,0.0,1.0,1.0,37.0,4.0,5.0,0.0
Buffalo Bills,1.0,0.0,0.0,38.0,0.0,0.0,1.0
Washington Redskins,2.0,3.0,0.0,37.0,3.0,5.0,1.0
Kansas City Chiefs,0.0,1.0,0.0,34.0,3.0,4.0,2.0
Atlanta Falcons,1.0,2.0,0.0,36.0,3.0,4.0,0.0
Pittsburgh Steelers,1.0,2.0,0.0,35.0,1.0,3.0,0.0
Philadelphia Eagles,0.0,2.0,0.0,35.0,0.0,2.0,1.0
Indianapolis Colts,2.0,3.0,0.0,37.0,0.0,0.0,0.0
Los Angeles Raiders,2.0,3.0,0.0,34.0,1.0,3.0,0.0
Seattle Seahawks,0.0,2.0,0.0,32.0,4.0,6.0,1.0
Los Angeles Rams,2.0,1.0,0.0,33.0,2.0,5.0,1.0
New York Giants,0.0,0.0,0.0,30.0,1.0,2.0,2.0
Cincinnati Bengals,0.0,0.0,0.0,27.0,2.0,2.0,1.0
Chicago Bears,0.0,0.0,0.0,30.0,2.0,6.0,0.0
New York Jets,0.0,3.0,0.0,29.0,2.0,2.0,0.0
Tampa Bay Buccaneers,0.0,0.0,0.0,26.0,3.0,6.0,0.0
Arizona Cardinals,0.0,1.0,0.0,24.0,1.0,3.0,1.0
Houston Oilers,0.0,1.0,0.0,25.0,4.0,7.0,1.0
Avg Team,0.7,1.6,0.0,36.42857142857143,2.1,4.0,0.5
