Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,San Francisco 49ers,16,9,24,1,1,1,3,,,,,37,38,31,35,,364,22.8
2,Kansas City Chiefs,16,11,17,1,,2,2,,,,,33,33,34,39,1,335,20.9
3,Buffalo Bills,16,15,19,,1,2,2,,,,,37,37,27,30,1,354,22.1
4,Atlanta Falcons,16,12,27,,1,2,5,,,1,,46,46,28,30,,414,25.9
5,St. Louis Rams,16,16,25,,2,1,4,,,2,,44,44,34,39,,438,27.4
6,Carolina Panthers,16,13,22,1,,1,1,,,,,38,38,27,32,,347,21.7
7,Miami Dolphins,16,18,28,,2,2,,,,1,,49,49,28,33,1,437,27.3
8,New York Jets,16,14,18,,1,1,4,,,2,,36,36,29,32,,355,22.2
9,Baltimore Ravens,16,9,27,,,2,1,,,1,,35,36,37,43,1,384,24.0
10,Oakland Raiders,16,24,17,2,1,2,,,,1,,43,43,25,34,1,398,24.9
11,Tennessee Titans,16,11,21,1,,2,,,,1,,31,33,18,25,,297,18.6
12,Denver Broncos,16,14,25,2,1,2,2,,,3,,42,42,27,33,2,409,25.6
13,Washington Redskins,16,10,20,,1,2,,,,,,29,30,27,37,1,310,19.4
14,Tampa Bay Buccaneers,16,11,18,,1,,2,,,,,31,32,15,18,1,270,16.9
15,Chicago Bears,16,17,19,,1,,2,,,2,,35,37,25,33,,348,21.8
16,Philadelphia Eagles,16,10,16,1,,2,1,,,,,27,29,31,38,,300,18.8
17,Detroit Lions,16,19,32,,2,1,2,,,1,,53,53,17,27,1,444,27.8
18,Minnesota Vikings,16,7,22,1,,,,2,,,,31,31,28,32,2,311,19.4
19,New York Giants,16,12,24,,1,1,3,,,1,,38,38,21,29,1,351,21.9
20,Houston Texans,16,15,25,,,2,1,,,,,42,43,28,33,,384,24.0
21,New Orleans Saints,16,7,32,1,1,1,2,,,,,44,44,26,30,1,388,24.3
22,Cincinnati Bengals,16,11,29,1,,,3,,,2,,42,42,25,27,,385,24.1
23,Seattle Seahawks,16,16,15,,,1,,,,1,,27,28,22,27,2,291,18.2
24,Pittsburgh Steelers,16,6,22,1,1,1,,,,,,29,30,18,22,,269,16.8
25,Cleveland Browns,16,8,29,1,,1,2,,,1,,38,38,32,35,,382,23.9
26,Arizona Cardinals,16,13,26,1,,1,3,1,,2,,39,39,28,33,1,399,24.9
27,Jacksonville Jaguars,16,12,20,,2,,1,,,3,,32,32,18,23,1,304,19.0
28,San Diego Chargers,16,11,20,,,2,2,,,1,,33,33,13,19,,284,17.8
29,Green Bay Packers,16,6,23,,,,1,1,,2,,29,29,24,27,,291,18.2
30,Indianapolis Colts,16,10,16,1,3,1,,,,2,,27,27,15,20,,262,16.4
31,Dallas Cowboys,16,12,19,1,1,1,2,,,,,34,34,25,31,,325,20.3
32,New England Patriots,16,7,23,,1,1,1,1,,,,34,34,12,14,,274,17.1
,Avg Team,,12.1,22.5,0.5,0.8,1.2,1.6,0.2,,0.9,1.8,36.4,36.8,24.8,30.0,0.6,347.0,21.7
,League Total,,386,720,17,25,37,52,6,1243,30,57,1165,1177,795,960,18,11104,
,Avg Tm/G,,0.75,1.41,0.03,0.05,0.07,0.10,0.01,2.43,0.06,0.11,2.28,2.30,1.55,1.88,0.04,21.7,
