Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Baltimore Colts,9,10,18,,,,,,,,,26,28,14,19,,236,26.2
2,Seattle Seahawks,9,12,4,,,1,1,,,,,17,18,6,15,2,147,16.3
3,New Orleans Saints,9,8,11,,,,,,,,,19,19,9,12,,160,17.8
4,St. Louis Cardinals,9,5,16,,,,,,,,,20,21,8,18,,170,18.9
5,Houston Oilers,9,10,18,,,1,1,,,,,30,30,11,18,1,245,27.2
6,Cleveland Browns,9,13,9,,,,,1,,,,21,23,7,11,1,182,20.2
7,Chicago Bears,9,4,14,,,,2,,,,,18,20,12,17,,174,19.3
8,New England Patriots,9,9,9,,,,,,,,,17,18,10,15,1,157,17.4
9,Denver Broncos,9,8,14,,,,3,,,,,25,25,17,24,,226,25.1
10,Buffalo Bills,9,6,8,,,1,,,,,,14,15,16,20,1,154,17.1
11,Tampa Bay Buccaneers,9,9,10,,,1,1,,,,,16,21,12,17,,178,19.8
12,New York Giants,9,7,10,,,1,,,,,,16,18,12,13,,160,17.8
13,Kansas City Chiefs,9,7,12,2,,,1,,,,,20,22,10,14,1,184,20.4
14,Detroit Lions,9,6,11,,,2,1,,,,,20,20,12,21,,176,19.6
15,Atlanta Falcons,9,13,12,,,1,,,,,,25,26,6,12,,199,22.1
16,Minnesota Vikings,9,8,11,,,1,3,1,,,,21,24,11,19,,198,22.0
17,Washington Redskins,9,8,8,,,,,,,,,14,16,6,9,,128,14.2
18,Philadelphia Eagles,9,5,14,,,,,,,,,19,19,20,22,1,195,21.7
19,Miami Dolphins,9,7,7,,,1,,,,,,14,15,9,15,,131,14.6
20,Los Angeles Rams,9,13,16,1,,,,,,,,28,30,14,19,,250,27.8
21,Pittsburgh Steelers,9,5,12,,,,,,,,,17,17,9,14,,146,16.2
22,San Francisco 49ers,9,9,14,1,,,,,,,,23,24,13,19,,206,22.9
23,Green Bay Packers,9,9,9,,1,,,,,,,17,19,12,18,1,169,18.8
24,Dallas Cowboys,9,5,10,,,1,1,,,,,16,17,9,15,,145,16.1
25,Cincinnati Bengals,9,8,12,,,,1,,,,,19,20,10,12,1,177,19.7
26,New York Jets,9,5,10,1,1,,3,,,,,19,20,9,15,,166,18.4
27,Los Angeles Raiders,9,12,11,,,,1,,,,,23,24,11,14,,200,22.2
28,San Diego Chargers,9,10,10,,,2,3,,,,,23,25,16,19,,221,24.6
,Avg Team,,8.3,11.4,0.2,0.1,0.4,0.8,0.1,,,0.0,19.9,21.0,11.1,16.3,0.4,181.4,20.2
,League Total,,231,320,5,2,12,22,3,595,,0,557,587,311,456,10,5080,
,Avg Tm/G,,0.92,1.27,0.02,0.01,0.05,0.09,0.01,2.36,,0.00,2.21,2.33,1.23,1.81,0.04,20.2,
