Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Cincinnati Bengals,16,10,23,,1,,,1,,1,,29,31,22,30,1,309,19.3
2,Dallas Cowboys,16,12,20,,,1,4,,,,,33,34,27,36,1,338,21.1
3,Carolina Panthers,16,13,25,1,,2,6,1,,2,,43,44,25,30,,410,25.6
4,Washington Redskins,16,10,19,1,,1,2,,,,,33,33,24,29,,303,18.9
5,Buffalo Bills,16,20,23,,,3,2,,,,,48,48,28,37,,420,26.3
6,Detroit Lions,16,15,30,1,,2,3,1,,2,,49,50,19,27,1,424,26.5
7,Cleveland Browns,16,11,18,1,,2,3,,,2,,30,32,25,34,,319,19.9
8,Minnesota Vikings,16,21,16,,1,2,2,,,,,39,39,33,38,,390,24.4
9,Atlanta Falcons,16,13,29,,,1,3,,,,,44,44,19,24,,377,23.6
10,New York Giants,16,7,25,1,,1,2,,,1,,34,34,23,31,,321,20.1
11,Jacksonville Jaguars,16,15,13,,,,2,,,,,28,28,26,35,,286,17.9
12,Arizona Cardinals,16,10,26,,1,1,1,,,2,,36,36,23,32,,343,21.4
13,Seattle Seahawks,16,9,20,1,1,3,,,,1,,31,31,29,36,,324,20.3
14,Baltimore Ravens,16,10,16,,,,3,1,,,,28,28,19,33,,265,16.6
15,New York Jets,16,15,14,1,,2,1,,,1,,27,30,22,27,1,295,18.4
16,Kansas City Chiefs,16,15,19,1,1,,1,,,2,,35,35,27,34,1,344,21.5
17,Tampa Bay Buccaneers,16,8,20,1,,,,,,3,,25,25,25,29,,280,17.5
18,San Diego Chargers,16,10,24,,,1,,,,1,,31,33,26,35,,321,20.1
19,New Orleans Saints,16,15,30,1,,,1,,,2,,42,42,27,31,,409,25.6
20,Tennessee Titans,16,17,27,,,,2,,,1,,44,44,22,29,,388,24.3
21,Chicago Bears,16,6,12,,,2,1,,,1,,19,20,18,28,1,203,12.7
22,Denver Broncos,16,9,23,1,1,1,2,1,,,,36,37,25,29,,339,21.2
23,Philadelphia Eagles,16,6,13,,,1,,,,1,,17,17,23,32,,208,13.0
24,Miami Dolphins,16,9,22,,,1,3,,,,,32,34,16,22,,290,18.1
25,Pittsburgh Steelers,16,5,19,,1,1,,,,1,,23,24,9,20,2,212,13.3
26,New England Patriots,16,7,15,,,2,2,,,2,,22,22,30,41,,272,17.0
27,Green Bay Packers,16,10,14,,,2,2,,,5,,20,20,22,28,1,266,16.6
28,Oakland Raiders,16,17,16,,1,,1,1,,4,,28,29,25,33,,327,20.4
29,San Francisco 49ers,16,9,18,,,,3,,,4,,23,23,23,27,1,282,17.6
30,Indianapolis Colts,16,20,30,1,,,6,,,1,,52,53,30,36,,486,30.4
31,St. Louis Rams,16,11,16,,2,1,1,,,,,27,27,20,26,,273,17.1
,Avg Team,,11.8,20.5,0.4,0.3,1.1,1.9,0.2,,1.3,2.7,32.5,33.1,23.6,30.9,0.3,323.4,20.2
,League Total,,365,635,12,10,33,59,6,1120,40,85,1008,1027,732,959,10,10024,
,Avg Tm/G,,0.74,1.28,0.02,0.02,0.07,0.12,0.01,2.26,0.08,0.17,2.03,2.07,1.48,1.93,0.02,20.2,
