Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New England Patriots,16,29,21,,,1,,1,,,,51,52,27,31,1,446,27.9
2,Cleveland Browns,16,21,32,,,1,3,2,,,,56,59,16,27,2,462,28.9
3,Dallas Cowboys,16,18,12,1,1,,4,,,,,36,36,18,26,1,308,19.3
4,Tampa Bay Buccaneers,16,20,22,,,1,2,,,,,43,45,18,27,,367,22.9
5,Phoenix Cardinals,16,20,29,,,,1,,,,,48,50,16,20,,396,24.8
6,Green Bay Packers,16,16,20,,,2,2,,,,,39,40,22,34,1,347,21.7
7,New Orleans Saints,16,8,21,,,1,,,,,,30,30,21,35,1,275,17.2
8,Indianapolis Colts,16,12,20,,,3,1,,,,,35,36,32,43,3,353,22.1
9,Pittsburgh Steelers,16,13,9,,1,3,,,,,,26,26,18,28,2,240,15.0
10,New York Jets,16,15,23,,1,,,,,,,35,39,24,32,2,345,21.6
11,Seattle Seahawks,16,7,19,2,,4,,,,,,32,32,20,27,1,286,17.9
12,San Diego Chargers,16,10,22,,,,1,,,,,33,33,16,21,1,281,17.6
13,Denver Broncos,16,16,22,,,1,3,1,,,,38,43,26,33,,374,23.4
14,New York Giants,16,9,12,,1,,1,,,,,23,23,16,22,1,211,13.2
15,Miami Dolphins,16,11,14,,,1,,,,,,26,26,20,29,,242,15.1
16,Los Angeles Raiders,16,4,20,,,1,,1,,,,25,26,29,33,,268,16.8
17,Los Angeles Rams,16,17,30,,,,2,,,,,46,49,24,31,,412,25.8
18,Atlanta Falcons,16,11,31,,,,2,,,,,42,44,19,28,1,365,22.8
19,Chicago Bears,16,10,19,,,2,,,,,,28,31,22,28,,280,17.5
20,Minnesota Vikings,16,12,20,,,,1,1,,,,32,34,30,36,,326,20.4
21,San Francisco 49ers,16,7,17,,,,1,1,,,,26,26,19,23,,239,14.9
22,Cincinnati Bengals,16,15,24,1,,,1,,,,,40,41,22,29,,352,22.0
23,Kansas City Chiefs,16,12,16,2,,,,,,,,29,30,16,20,,257,16.1
24,Detroit Lions,16,22,21,,1,2,3,,,,,48,48,23,30,1,413,25.8
25,Washington Redskins,16,8,21,,,1,5,,,,,35,35,18,23,1,301,18.8
26,Philadelphia Eagles,16,9,23,1,,,,,,,,32,33,23,32,,299,18.7
27,Houston Oilers,16,12,18,1,1,3,2,,,,,34,37,17,21,,307,19.2
28,Buffalo Bills,16,13,17,,,,,,,,,29,30,18,24,,263,16.4
,Avg Team,,13.5,20.5,0.3,0.2,1.0,1.3,0.3,,,0.0,35.6,36.6,21.1,28.3,0.7,322.0,20.1
,League Total,,377,575,8,6,27,35,7,1035,,0,997,1024,590,793,19,9015,
,Avg Tm/G,,0.84,1.28,0.02,0.01,0.06,0.08,0.02,2.31,,0.00,2.23,2.29,1.32,1.77,0.04,20.1,
