Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New Orleans Saints,16,11,21,1,,1,1,,,,,33,33,28,36,,327,20.4
2,Buffalo Bills,16,11,17,,3,3,3,,,,,34,35,37,46,,367,22.9
3,Chicago Bears,16,18,25,2,,4,1,,,2,,45,45,24,32,,421,26.3
4,Carolina Panthers,16,12,17,2,1,2,2,,,,,35,35,21,25,,314,19.6
5,San Diego Chargers,16,12,31,,1,2,3,1,,1,,46,46,25,26,1,425,26.6
6,Arizona Cardinals,16,13,23,1,1,1,2,1,,1,,35,37,30,35,,379,23.7
7,Tampa Bay Buccaneers,16,10,13,,1,1,4,,,4,,25,25,18,29,1,263,16.4
8,St. Louis Rams,16,10,26,1,1,1,,,,7,,31,31,26,31,1,359,22.4
9,Dallas Cowboys,16,12,20,,,3,1,,,2,,34,34,20,27,,314,19.6
10,New York Giants,16,17,10,,1,,2,,,1,,26,27,19,25,,265,16.6
11,Indianapolis Colts,16,18,26,,1,1,,,,,,42,44,27,31,1,401,25.1
12,Philadelphia Eagles,16,16,20,1,,2,4,,,,,42,42,24,33,,372,23.3
13,Atlanta Falcons,16,18,24,,,2,1,,,4,,39,39,14,20,1,361,22.6
14,Oakland Raiders,16,19,21,,,1,2,1,,2,,37,37,38,43,,419,26.2
15,Baltimore Ravens,16,17,20,,1,1,,,,2,,33,35,24,34,1,345,21.6
16,Washington Redskins,16,15,14,,,2,1,,,3,,28,28,21,25,,289,18.1
17,Tennessee Oilers,16,12,21,,,2,,,,,,34,34,22,30,,310,19.4
18,Miami Dolphins,16,9,23,,,,4,,,2,,30,32,25,35,1,327,20.4
19,New York Jets,16,9,23,,,1,,,,2,,27,28,18,27,2,287,17.9
20,Minnesota Vikings,16,13,28,1,,,,,,1,,36,37,23,30,,359,22.4
21,Cincinnati Bengals,16,15,30,2,,1,,,,,,45,45,24,29,,405,25.3
22,Seattle Seahawks,16,10,19,2,1,2,4,,,2,,35,35,31,34,1,362,22.6
23,New England Patriots,16,16,14,,1,,2,,,1,,29,29,20,29,,289,18.1
24,Pittsburgh Steelers,16,5,24,,1,,,1,,2,,28,28,29,35,1,307,19.2
25,Kansas City Chiefs,16,8,15,,,,,,,,,22,22,24,33,,232,14.5
26,San Francisco 49ers,16,5,23,,,1,2,,,,,29,29,16,20,1,265,16.6
27,Detroit Lions,16,15,15,1,,,2,,,1,,29,30,25,32,1,306,19.1
28,Jacksonville Jaguars,16,12,24,,,1,2,,,1,,31,32,17,25,,318,19.9
29,Green Bay Packers,16,16,10,,,1,2,,,6,,18,18,24,30,,282,17.6
30,Denver Broncos,16,10,20,1,,3,1,,,,,35,35,14,19,,287,17.9
,Avg Team,,12.8,20.6,0.5,0.5,1.2,1.6,0.2,,1.6,3.5,33.1,33.6,23.6,30.2,0.4,331.9,20.7
,League Total,,384,617,15,14,37,47,6,1120,47,104,993,1007,708,906,13,9957,
,Avg Tm/G,,0.80,1.29,0.03,0.03,0.08,0.10,0.01,2.33,0.10,0.22,2.07,2.10,1.48,1.89,0.03,20.7,
