Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,St. Louis Rams,16,24,22,,1,3,4,,,1,,51,52,19,22,1,436,27.3
2,Oakland Raiders,16,24,16,,1,,,,,,,41,41,30,40,1,379,23.7
3,Tampa Bay Buccaneers,16,16,28,,,,2,,,,,44,46,26,32,1,400,25.0
4,Cleveland Browns,16,15,22,,,2,2,,,,,39,41,30,36,,375,23.4
5,Buffalo Bills,16,19,14,,,1,3,,,2,,32,32,22,28,1,326,20.4
6,Detroit Lions,16,18,35,,1,,3,,,1,,55,55,31,34,1,494,30.9
7,Washington Redskins,16,10,19,,,2,3,,,2,,31,31,31,36,2,336,21.0
8,Seattle Seahawks,16,17,27,1,,,1,,,2,,44,44,22,31,,390,24.4
9,Jacksonville Jaguars,16,12,28,,1,1,1,1,,2,,38,38,24,28,1,380,23.8
10,Kansas City Chiefs,16,18,25,,2,2,,1,,,,47,47,29,37,1,424,26.5
11,Cincinnati Bengals,16,12,18,,,,2,,,,,30,30,23,29,,291,18.2
12,Carolina Panthers,16,15,14,1,1,2,3,,,1,,33,33,19,27,,308,19.3
13,Denver Broncos,16,11,18,1,1,,3,,,,,33,34,29,31,,324,20.3
14,Chicago Bears,16,14,29,,,,,,,2,,38,40,25,33,,375,23.4
15,San Francisco 49ers,16,12,14,,1,,1,,,,,26,27,29,34,,281,17.6
16,New York Jets,16,11,8,,2,3,2,,,,,23,24,19,23,,236,14.8
17,Tennessee Titans,16,16,31,,1,,,,,1,,46,47,22,27,,402,25.1
18,Miami Dolphins,16,16,23,,,,3,,,2,,35,37,33,39,,390,24.4
19,Dallas Cowboys,16,7,19,1,,,1,,,,,28,28,18,26,,250,15.6
20,Atlanta Falcons,16,10,25,1,,,2,,,,,37,38,20,28,,325,20.3
21,Pittsburgh Steelers,16,7,22,,4,2,2,,,2,,32,32,22,29,,324,20.3
22,Arizona Cardinals,16,13,22,,,,3,,,,,38,38,19,25,1,325,20.3
23,Houston Texans,16,17,19,,,,3,,,,,39,39,20,23,,333,20.8
24,Baltimore Ravens,16,8,17,1,,,,1,,,,27,27,24,27,,261,16.3
25,New York Giants,16,21,31,1,,1,,,,1,,47,51,18,21,,427,26.7
26,Indianapolis Colts,16,10,19,,1,1,,,,2,,27,27,30,36,,307,19.2
27,New England Patriots,16,6,25,,,2,1,1,,,,33,34,14,20,,285,17.8
28,Philadelphia Eagles,16,11,27,,,,1,,,1,,38,38,21,24,,337,21.1
29,San Diego Chargers,16,10,23,1,1,,,,,1,,33,33,25,29,,320,20.0
30,Green Bay Packers,16,5,29,,,,1,1,,1,,34,34,13,17,3,297,18.6
31,Minnesota Vikings,16,5,26,1,,2,1,1,,,,30,31,22,26,,312,19.5
32,New Orleans Saints,16,19,15,1,,2,,,,,,36,36,27,32,1,341,21.3
,Avg Team,,13.4,22.2,0.3,0.6,0.8,1.5,0.2,,0.8,1.8,36.4,37.0,23.6,29.1,0.4,343.5,21.5
,League Total,,429,710,10,18,25,48,7,1247,24,59,1165,1185,756,930,14,10991,
,Avg Tm/G,,0.84,1.39,0.02,0.04,0.05,0.09,0.01,2.44,0.05,0.12,2.28,2.31,1.48,1.82,0.03,21.5,
