Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New Orleans Saints,16,17,26,,,2,1,,,,,45,46,19,25,,378,23.6
2,Chicago Bears,16,13,23,1,,,2,,,,,37,39,17,29,1,324,20.3
3,Baltimore Colts,16,30,37,,,,1,,,,,65,68,20,31,,533,33.3
4,Oakland Raiders,16,15,24,,1,2,,,,,,38,42,17,30,1,343,21.4
5,Cleveland Browns,16,14,28,,,1,1,,,,,40,45,21,34,1,375,23.4
6,Houston Oilers,16,16,22,,,1,,,,,,38,39,27,42,1,355,22.2
7,New York Giants,16,10,14,1,,,2,,,,,27,27,22,33,1,257,16.1
8,Los Angeles Rams,16,19,17,,2,,1,,,,,37,39,26,33,1,351,21.9
9,Buffalo Bills,16,7,21,,1,1,,,,,,30,30,22,26,,276,17.3
10,St. Louis Cardinals,16,20,29,,,1,,,,,,48,50,20,26,,408,25.5
11,Tampa Bay Buccaneers,16,16,10,1,,,,,,,,27,27,25,33,2,268,16.8
12,Denver Broncos,16,17,13,,,1,4,,,,,34,35,15,27,,289,18.1
13,New England Patriots,16,20,18,1,,2,1,,,,,39,41,25,39,2,370,23.1
14,Seattle Seahawks,16,20,25,,,,1,,,,,41,46,23,29,1,388,24.3
15,Green Bay Packers,16,21,18,,,3,3,,,,,43,45,16,24,,361,22.6
16,Minnesota Vikings,16,15,26,1,,1,3,,,,,42,46,17,27,,369,23.1
17,Kansas City Chiefs,16,17,16,,,,1,,,,,29,34,19,27,,290,18.1
18,Miami Dolphins,16,10,23,,,,,,,,,33,33,14,21,1,275,17.2
19,Washington Redskins,16,17,21,1,,3,1,,,,,38,43,17,24,1,349,21.8
20,New York Jets,16,19,15,,,2,,,,,,33,36,12,20,1,287,17.9
21,Pittsburgh Steelers,16,10,22,2,,1,,,,,,33,35,18,33,,297,18.6
22,San Francisco 49ers,16,10,16,1,,1,2,,,,,29,30,13,23,1,250,15.6
23,Dallas Cowboys,16,16,17,,,,1,,,,,31,34,14,29,,277,17.3
24,Philadelphia Eagles,16,11,12,,,1,2,,,,,23,26,14,28,,221,13.8
25,Detroit Lions,16,14,22,,,1,1,,,,,37,38,19,22,,322,20.1
26,Cincinnati Bengals,16,12,24,,1,,1,,,,,38,38,12,21,1,304,19.0
27,Atlanta Falcons,16,10,30,2,,1,,,,,,41,43,18,29,1,355,22.2
28,San Diego Chargers,16,25,22,,,,1,,,,,45,48,19,26,,390,24.4
,Avg Team,,15.8,21.1,0.4,0.2,0.9,1.1,,,,0.0,37.2,39.0,18.6,28.3,0.6,330.8,20.7
,League Total,,441,591,11,5,25,30,1,1104,,0,1041,1092,521,791,17,9262,
,Avg Tm/G,,0.98,1.32,0.02,0.01,0.06,0.07,,2.46,,0.00,2.32,2.44,1.16,1.77,0.04,20.7,
