Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Cleveland Browns,16,26,18,,,,2,,,1,,44,44,31,34,2,419,26.2
2,Cincinnati Bengals,16,12,26,,,2,,,,,,39,40,26,36,1,359,22.4
3,Arizona Cardinals,16,29,19,2,,,2,,,,,50,51,27,34,,443,27.7
4,Chicago Bears,16,15,25,,,2,1,,,1,,41,41,18,26,,355,22.2
5,Atlanta Falcons,16,16,23,,3,1,3,,,6,,38,38,29,31,,413,25.8
6,San Diego Chargers,16,10,33,1,1,1,3,1,,1,,46,46,30,34,1,440,27.5
7,New England Patriots,16,12,23,,1,,2,,,1,,34,34,24,32,1,338,21.1
8,Washington Redskins,16,9,12,2,1,1,1,,,,,23,23,30,34,,269,16.8
9,Dallas Cowboys,16,17,20,,,1,3,,,,,37,37,26,31,,361,22.6
10,Detroit Lions,16,14,16,,,,2,,,1,,31,31,26,31,2,307,19.2
11,Carolina Panthers,16,12,19,,,2,2,,,2,,30,31,20,30,3,310,19.4
12,Buffalo Bills,16,13,18,1,2,2,1,,,3,,33,33,29,33,1,350,21.9
13,Seattle Seahawks,16,20,23,,,1,2,,,,,45,45,28,33,,405,25.3
14,Pittsburgh Steelers,16,9,13,,,,2,,,,,24,24,29,34,,255,15.9
15,New York Jets,16,9,17,2,,1,4,,,1,,32,32,29,34,1,321,20.1
16,Miami Dolphins,16,9,13,,,,1,,,1,,20,20,22,30,,226,14.1
17,New York Giants,16,7,23,,,,,,,1,,25,27,13,24,,246,15.4
18,Baltimore Ravens,16,5,11,,,,2,,,,,15,18,14,19,,165,10.3
19,Tennessee Titans,16,7,10,,,,3,,,,,20,20,17,22,,191,11.9
20,Philadelphia Eagles,16,10,11,1,,1,,,,1,,21,21,28,33,,245,15.3
21,Green Bay Packers,16,7,28,1,,,1,,,1,,36,36,21,25,,323,20.2
22,New Orleans Saints,16,14,17,2,2,,1,,,2,,31,31,18,24,,305,19.1
23,Kansas City Chiefs,16,13,25,,,1,3,,,,,39,39,21,30,,354,22.1
24,Jacksonville Jaguars,16,14,23,1,1,,,,,2,,36,36,17,24,1,327,20.4
25,Tampa Bay Buccaneers,16,12,15,1,,,1,,,2,,25,25,22,32,,269,16.8
26,San Francisco 49ers,16,22,25,,,,2,,,2,,46,46,26,31,,422,26.4
27,Minnesota Vikings,16,17,23,,1,,1,1,,,,38,38,25,29,,371,23.2
28,Indianapolis Colts,16,13,22,,1,,1,,,3,,33,33,21,28,1,326,20.4
29,Oakland Raiders,16,8,25,,,1,,1,,,,30,30,19,25,1,299,18.7
30,Denver Broncos,16,13,26,1,1,2,1,1,,,,42,43,19,23,,369,23.1
31,St. Louis Rams,16,18,32,,1,,4,1,,3,,49,50,26,31,1,471,29.4
,Avg Team,,13.3,20.5,0.5,0.5,0.6,1.6,0.2,,1.1,2.5,34.0,34.3,23.6,29.6,0.5,330.8,20.7
,League Total,,412,634,15,15,19,51,5,1151,35,76,1053,1063,731,917,16,10254,
,Avg Tm/G,,0.83,1.28,0.03,0.03,0.04,0.10,0.01,2.32,0.07,0.15,2.12,2.14,1.47,1.85,0.03,20.7,
