Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Buffalo Bills,16,20,24,1,,1,4,,,,,45,50,12,15,,381,23.8
2,St. Louis Cardinals,16,11,34,,,,1,1,,,,46,47,28,38,1,414,25.9
3,Atlanta Falcons,16,24,32,,,1,,,,,,55,56,17,23,2,452,28.3
4,Houston Oilers,16,21,29,,,,1,,,,,49,51,19,34,,412,25.8
5,Philadelphia Eagles,16,17,18,1,,1,2,,,,,37,38,13,29,,310,19.4
6,Cleveland Browns,16,14,18,,,1,1,,,,,33,34,19,29,,294,18.4
7,Tampa Bay Buccaneers,16,28,18,,,,4,,,,,50,50,32,43,1,448,28.0
8,New Orleans Saints,16,19,26,,1,1,1,,,,,48,48,21,28,1,401,25.1
9,Washington Redskins,16,11,19,,2,1,2,,,,,34,35,22,28,1,312,19.5
10,Detroit Lions,16,19,16,,1,3,1,,,,,40,40,28,36,1,366,22.9
11,Kansas City Chiefs,16,18,22,1,,,,,,,,39,41,25,30,,360,22.5
12,Indianapolis Colts,16,20,24,1,,,,,,,,41,45,25,31,,386,24.1
13,Green Bay Packers,16,17,22,,2,1,1,,,,,41,43,16,31,4,355,22.2
14,Los Angeles Rams,16,9,19,,,1,1,,,,,28,30,23,29,,277,17.3
15,Minnesota Vikings,16,16,20,,,1,2,,,,,38,39,29,37,,359,22.4
16,Seattle Seahawks,16,12,22,,,,1,,,,,31,35,20,28,1,303,18.9
17,Los Angeles Raiders,16,7,22,,,3,1,1,,,,32,33,24,35,,308,19.3
18,Dallas Cowboys,16,18,20,,,,2,,,,,37,40,18,27,1,333,20.8
19,New England Patriots,16,15,14,,,1,2,,,,,30,32,22,25,1,290,18.1
20,Pittsburgh Steelers,16,19,18,,,1,5,,,,,40,43,19,25,,355,22.2
21,Denver Broncos,16,10,22,,1,,2,1,,,,35,36,26,33,,329,20.6
22,New York Jets,16,10,17,1,,1,1,,,,,30,30,18,25,,264,16.5
23,New York Giants,16,9,20,,,,4,,,,,31,33,18,21,,283,17.7
24,San Francisco 49ers,16,10,11,1,1,1,1,1,,,,24,26,27,35,1,263,16.4
25,Miami Dolphins,16,15,21,1,,1,,,,,,35,38,19,28,,320,20.0
26,Cincinnati Bengals,16,23,26,1,,,,1,,,,51,51,26,34,1,437,27.3
27,Chicago Bears,16,6,16,,,,1,,,,,22,23,12,19,1,198,12.4
28,San Diego Chargers,16,25,28,,,1,,1,,,,51,54,18,30,,435,27.2
,Avg Team,,15.8,21.4,0.3,0.3,0.7,1.5,0.3,,,0.0,38.3,39.6,21.3,29.5,0.6,344.5,21.5
,League Total,,443,598,8,8,20,41,7,1125,,0,1073,1110,596,826,17,9645,
,Avg Tm/G,,0.99,1.33,0.02,0.02,0.04,0.09,0.02,2.51,,0.00,2.40,2.48,1.33,1.84,0.04,21.5,
