Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,Cleveland Browns,16,29,17,2,,,1,,,1,,40,41,33,39,1,437,27.3
2,Arizona Cardinals,16,17,25,,2,2,2,,,,,44,45,16,24,1,382,23.9
3,New Orleans Saints,16,15,34,1,1,,4,,,1,,54,54,16,23,,434,27.1
4,San Diego Chargers,16,8,24,,,2,,,,,,34,34,26,38,,316,19.8
5,Tampa Bay Buccaneers,16,8,11,,,3,1,,,,,23,23,24,31,1,235,14.7
6,Chicago Bears,16,11,23,,,2,2,,,,,38,38,25,36,,341,21.3
7,Philadelphia Eagles,16,12,22,,,,2,,,,,33,33,36,45,,357,22.3
8,Cincinnati Bengals,16,22,28,1,,1,1,,,2,,49,50,29,32,1,460,28.8
9,Atlanta Falcons,16,18,20,,2,,3,,,1,,40,40,26,35,1,380,23.8
10,San Francisco 49ers,16,11,36,2,1,1,2,,,1,,50,50,27,32,1,453,28.3
11,New York Giants,16,13,20,1,1,1,5,,,,,38,39,24,37,1,358,22.4
12,New England Patriots,16,6,23,,,,1,,,,,27,27,25,30,1,284,17.8
13,New York Jets,16,16,16,,,1,,,,,,33,33,26,31,,309,19.3
14,Denver Broncos,16,15,17,1,,1,1,,,1,,31,32,25,29,,318,19.9
15,Pittsburgh Steelers,16,10,20,1,,2,3,,,,,34,35,20,26,5,320,20.0
16,Buffalo Bills,16,9,12,,,1,1,,,,,22,22,23,31,,229,14.3
17,Detroit Lions,16,12,21,,1,1,1,,,2,,31,31,22,29,3,323,20.2
18,Baltimore Ravens,16,6,20,1,,1,3,,,4,,26,27,19,25,,277,17.3
19,Miami Dolphins,16,6,19,,1,2,7,,,,,33,35,31,40,,336,21.0
20,Seattle Seahawks,16,9,19,1,,1,,,,,,26,27,30,38,1,298,18.6
21,Dallas Cowboys,16,6,19,1,,2,,,,3,,24,24,26,33,,276,17.3
22,Green Bay Packers,16,16,20,,,,2,1,,,,35,35,24,31,,341,21.3
23,Oakland Raiders,16,10,22,1,,1,2,,,,,33,33,26,32,1,329,20.6
24,Kansas City Chiefs,16,10,24,1,1,,1,1,,2,,33,33,19,25,,322,20.1
25,Tennessee Titans,16,8,26,,2,1,2,,,4,,33,33,15,22,2,324,20.3
26,Jacksonville Jaguars,16,6,18,,,,,,,,,22,22,17,18,,217,13.6
27,Minnesota Vikings,16,9,20,,,3,3,,,2,,32,32,29,42,1,335,20.9
28,Carolina Panthers,16,13,26,,,4,4,,,,,42,43,19,25,,381,23.8
29,Indianapolis Colts,16,12,21,,,1,2,,,2,,31,31,26,29,2,333,20.8
30,Washington Redskins,16,16,23,2,1,1,,,,3,,38,38,25,30,,377,23.6
31,St. Louis Rams,16,4,19,,,1,2,,,2,,22,23,20,26,,242,15.1
,Avg Team,,11.7,21.5,0.5,0.4,1.1,1.9,0.1,,1.0,2.6,33.9,34.3,24.2,31.1,0.7,333.0,20.8
,League Total,,363,665,16,13,35,58,3,1153,31,80,1051,1063,749,964,23,10324,
,Avg Tm/G,,0.73,1.34,0.03,0.03,0.07,0.12,0.01,2.32,0.06,0.16,2.12,2.14,1.51,1.94,0.05,20.8,
