Rk,Tm,G,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
1,New York Jets,16,15,21,,,3,3,,,,,40,41,30,41,1,384,24.0
2,Tampa Bay Buccaneers,16,14,19,,,1,,1,,1,,30,31,31,40,,335,20.9
3,Jacksonville Jaguars,16,17,28,,1,,,,,,,45,45,27,31,1,404,25.3
4,Arizona Cardinals,16,14,33,,2,,4,,,,,50,51,18,25,,422,26.4
5,Carolina Panthers,16,17,15,,,2,3,1,,,,38,38,19,26,1,325,20.3
6,Cleveland Browns,16,15,23,,,,2,,,2,,34,36,26,34,,356,22.3
7,New York Giants,16,17,17,1,,1,1,,,1,,32,33,28,35,,340,21.3
8,New England Patriots,16,12,29,,,2,1,,,2,,40,41,23,32,,377,23.6
9,St. Louis Rams,16,14,27,1,,3,5,1,,1,,47,48,21,27,,418,26.1
10,Philadelphia Eagles,16,14,14,2,,4,2,,,2,,32,32,28,37,1,338,21.1
11,New Orleans Saints,16,13,23,,,,2,,,3,,33,33,27,35,,348,21.8
12,San Diego Chargers,16,15,16,1,,,3,,,2,,28,29,27,32,,323,20.2
13,Washington Redskins,16,18,20,,1,,3,,,1,,39,40,22,27,,359,22.4
14,Indianapolis Colts,16,8,23,,1,1,1,,,3,,29,29,25,38,1,316,19.8
15,Oakland Raiders,16,15,14,,,2,2,,,3,,27,29,33,41,1,332,20.8
16,Houston Oilers,16,11,24,1,,1,1,,,,,35,35,19,24,2,324,20.3
17,Cincinnati Bengals,16,10,25,,,,2,,,2,,34,34,38,49,,374,23.4
18,Buffalo Bills,16,16,14,1,,1,1,,,2,,29,29,34,43,1,335,20.9
19,Kansas City Chiefs,16,7,16,,,2,3,,,,,25,25,16,19,,241,15.1
20,Atlanta Falcons,16,12,28,,,1,2,,,,,38,38,17,22,1,349,21.8
21,Seattle Seahawks,16,11,26,,2,2,2,,,,,36,37,24,35,,366,22.9
22,Denver Broncos,16,19,20,,2,3,,,,,,42,42,13,19,,345,21.6
23,Chicago Bears,16,9,27,1,,3,1,,,1,,40,40,24,29,,360,22.5
24,Miami Dolphins,16,7,30,,,1,,,,1,,31,33,23,31,1,332,20.8
25,Green Bay Packers,16,12,25,,,,,,,,,35,35,19,21,,314,19.6
26,Pittsburgh Steelers,16,9,24,,,1,2,,,1,,34,34,23,25,,327,20.4
27,Minnesota Vikings,16,11,29,1,,2,1,,,7,,29,32,26,35,,385,24.1
28,Dallas Cowboys,16,13,17,,,1,1,,,1,,29,29,22,27,1,291,18.2
29,Detroit Lions,16,15,17,1,,1,2,,,2,,32,32,28,42,,336,21.0
30,San Francisco 49ers,16,5,19,,,,2,,,2,,17,18,27,32,,258,16.1
,Avg Team,,12.8,22.1,0.3,0.3,1.3,1.7,0.1,,1.3,3.4,34.3,35.0,24.6,31.8,0.4,343.8,21.5
,League Total,,385,663,10,9,38,52,4,1161,40,102,1030,1049,738,954,12,10314,
,Avg Tm/G,,0.80,1.38,0.02,0.02,0.08,0.11,0.01,2.42,0.08,0.21,2.15,2.19,1.54,1.99,0.03,21.5,
