Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Tampa Bay Buccaneers,16,297,490,60.6,2725,18,3.7,16,3.3,6.0,5.3,9.9,170.3,76.2,33,210,5.2,4.5,6.3,24.41
2,Indianapolis Colts,16,325,498,65.3,2764,16,3.2,22,4.4,5.9,4.5,9.0,172.8,73.3,28,162,5.3,4.0,5.3,3.35
3,Pittsburgh Steelers,16,292,536,54.5,2824,22,4.1,11,2.1,5.7,5.6,10.5,176.5,76.5,36,243,4.9,4.8,6.3,55.45
4,Miami Dolphins,16,242,409,59.2,3019,28,6.8,14,3.4,7.8,7.6,13.2,188.7,92.4,30,167,6.9,6.7,6.8,-92.30
5,Kansas City Chiefs,16,276,462,59.7,3022,17,3.7,14,3.0,7.1,6.5,11.9,188.9,81.0,37,252,6.1,5.5,7.4,18.22
6,New England Patriots,16,314,526,59.7,3041,23,4.4,19,3.6,6.4,5.7,10.8,190.1,78.1,47,340,5.3,4.6,8.2,44.76
7,Denver Broncos,16,279,458,60.9,3094,25,5.5,14,3.1,7.2,6.9,11.8,193.4,88.3,33,203,6.3,6.0,6.7,-68.70
8,Oakland Raiders,16,261,439,59.5,3132,17,3.9,18,4.1,7.6,6.5,12.7,195.8,78.9,27,186,6.7,5.7,5.8,-3.09
9,New York Jets,16,289,470,61.5,3154,18,3.8,15,3.2,7.2,6.5,11.6,197.1,82.6,29,208,6.3,5.7,5.8,-47.21
10,Tennessee Titans,16,349,569,61.3,3187,21,3.7,22,3.9,6.0,5.0,9.8,199.2,74.5,40,241,5.2,4.3,6.6,37.66
11,New York Giants,16,306,523,58.5,3317,24,4.6,15,2.9,7.0,6.6,12.0,207.3,83.4,53,349,5.8,5.4,9.2,-21.94
12,Green Bay Packers,16,295,534,55.2,3366,23,4.3,19,3.6,6.7,6.0,12.1,210.4,75.6,36,218,5.9,5.2,6.3,5.17
13,Dallas Cowboys,16,342,581,58.9,3409,19,3.3,19,3.3,6.4,5.6,10.9,213.1,75.1,46,319,5.4,4.7,7.3,-1.65
14,San Diego Chargers,16,338,555,60.9,3412,20,3.6,30,5.4,6.6,4.9,10.9,213.3,70.0,42,272,5.7,4.1,7.0,37.77
15,Jacksonville Jaguars,16,319,543,58.7,3416,20,3.7,20,3.7,6.7,5.8,11.5,213.5,76.1,37,244,5.9,5.0,6.4,-29.70
16,Washington Redskins,16,351,602,58.3,3424,20,3.3,14,2.3,6.0,5.6,10.3,214.0,77.1,33,198,5.4,5.0,5.2,29.23
17,Carolina Panthers,16,337,537,62.8,3426,22,4.1,14,2.6,6.7,6.4,10.7,214.1,85.1,23,177,6.1,5.8,4.1,-40.45
18,Philadelphia Eagles,16,312,539,57.9,3449,16,3.0,11,2.0,6.9,6.5,11.8,215.6,80.3,37,244,6.0,5.7,6.4,-29.98
19,Seattle Seahawks,16,333,568,58.6,3505,15,2.6,20,3.5,6.7,5.6,11.4,219.1,73.0,45,303,5.7,4.7,7.3,37.03
20,Baltimore Ravens,16,293,490,59.8,3557,27,5.5,17,3.5,7.6,7.2,12.8,222.3,87.6,32,183,6.8,6.4,6.1,-73.88
21,St. Louis Rams,16,318,523,60.8,3613,25,4.8,18,3.4,7.4,6.8,12.1,225.8,85.0,31,234,6.5,6.0,5.6,-66.81
22,San Francisco 49ers,16,345,543,63.5,3643,24,4.4,12,2.2,7.0,6.9,11.1,227.7,89.9,31,183,6.3,6.2,5.4,-51.51
23,Atlanta Falcons,16,336,536,62.7,3655,27,5.0,16,3.0,7.1,6.8,11.3,228.4,88.2,25,146,6.5,6.2,4.5,-51.14
24,Cleveland Browns,16,340,578,58.8,3681,29,5.0,17,2.9,6.7,6.4,11.4,230.1,83.4,28,186,6.1,5.8,4.6,-48.29
25,Houston Texans,16,361,546,66.1,3682,25,4.6,11,2.0,7.1,7.1,10.7,230.1,93.6,31,196,6.4,6.4,5.4,-70.59
26,Cincinnati Bengals,16,353,540,65.4,3687,29,5.4,19,3.5,7.1,6.6,10.8,230.4,89.2,22,128,6.6,6.1,3.9,-68.42
27,Chicago Bears,16,343,541,63.4,3708,19,3.5,16,3.0,7.3,6.7,11.5,231.8,84.7,41,245,6.4,5.8,7.0,-16.86
28,Arizona Cardinals,16,361,570,63.3,3716,26,4.6,18,3.2,6.9,6.4,11.0,232.3,85.8,36,242,6.1,5.7,5.9,-2.54
29,Buffalo Bills,16,354,567,62.4,3814,19,3.4,18,3.2,7.0,6.2,11.2,238.4,81.1,26,144,6.4,5.7,4.4,-72.44
30,New Orleans Saints,16,327,524,62.4,3924,32,6.1,13,2.5,7.9,8.0,12.6,245.3,96.9,32,198,7.1,7.2,5.8,-65.46
31,Detroit Lions,16,422,602,70.1,4131,32,5.3,17,2.8,7.3,7.1,10.4,258.2,96.8,37,256,6.5,6.3,5.8,-94.88
32,Minnesota Vikings,16,415,646,64.2,4225,22,3.4,15,2.3,7.0,6.6,10.8,264.1,86.3,38,275,6.2,5.8,5.6,-44.57
,Avg Team,,325.8,532.7,61.2,3428.8,22.5,4.2,16.7,3.1,6.9,6.3,11.2,214.3,80.9,34.4,223.5,6.05,5.5,6.1,
,League Total,,10425,17045,61.2,109722,720,4.2,534,3.1,6.9,6.3,11.2,214.3,80.9,1102,7152,6.05,5.5,6.1,
,Avg Tm/G,,20.4,33.3,61.2,214.3,1.4,4.2,1.0,3.1,6.9,6.3,11.2,214.3,80.9,2.2,14.0,6.05,5.5,6.1,
