Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Pittsburgh Steelers,16,289,530,54.5,2751,15,2.8,11,2.1,5.6,5.3,10.3,171.9,71.7,35,230,4.9,4.5,6.2,3.08
2,Cleveland Browns,16,265,469,56.5,2959,16,3.4,9,1.9,6.7,6.6,11.9,184.9,80.6,32,199,5.9,5.7,6.4,-20.82
3,Houston Texans,16,279,538,51.9,3035,18,3.3,17,3.2,6.2,5.4,11.9,189.7,69.0,44,287,5.2,4.5,7.6,50.93
4,Baltimore Ravens,16,288,535,53.8,3140,11,2.1,15,2.8,6.4,5.6,11.9,196.3,68.8,48,290,5.4,4.6,8.2,77.51
5,New York Jets,16,275,507,54.2,3216,15,3.0,19,3.7,6.7,5.6,12.4,201.0,69.6,35,198,5.9,4.9,6.5,32.92
6,Kansas City Chiefs,16,257,454,56.6,3221,23,5.1,20,4.4,7.5,6.5,13.3,201.3,79.1,29,186,6.7,5.8,6.0,-35.14
7,St. Louis Rams,16,293,484,60.5,3301,21,4.3,12,2.5,7.4,7.1,12.2,206.3,87.3,39,261,6.3,6.1,7.5,-59.27
8,Jacksonville Jaguars,16,326,513,63.5,3341,21,4.1,17,3.3,6.9,6.3,10.9,208.8,83.7,31,213,6.1,5.5,5.7,-16.58
9,Cincinnati Bengals,16,319,539,59.2,3385,21,3.9,10,1.9,6.8,6.7,11.5,211.6,85.0,45,277,5.8,5.7,7.7,-12.06
10,Philadelphia Eagles,16,301,518,58.1,3397,27,5.2,15,2.9,7.2,6.9,12.3,212.3,85.7,50,316,6.0,5.7,8.8,-16.49
11,Seattle Seahawks,16,324,543,59.7,3518,18,3.3,22,4.1,6.9,5.7,11.6,219.9,74.8,33,232,6.1,5.0,5.7,23.44
12,Washington Redskins,16,308,509,60.5,3553,22,4.3,13,2.6,7.5,7.2,12.4,222.1,87.4,41,251,6.5,6.2,7.5,-56.02
13,San Diego Chargers,16,299,478,62.6,3591,29,6.1,17,3.6,7.9,7.5,12.6,224.4,92.5,32,187,7.0,6.7,6.3,-79.74
14,Tennessee Titans,16,369,591,62.4,3629,21,3.6,11,1.9,6.4,6.3,10.3,226.8,85.1,28,180,5.9,5.7,4.5,-36.84
15,Indianapolis Colts,16,351,493,71.2,3632,25,5.1,8,1.6,7.8,8.0,10.9,227.0,103.9,29,192,7.0,7.2,5.6,-101.27
16,San Francisco 49ers,16,333,579,57.5,3695,20,3.5,23,4.0,6.9,5.8,11.9,230.9,73.6,42,283,6.0,4.9,6.8,14.86
17,Arizona Cardinals,16,340,578,58.8,3696,17,2.9,10,1.7,6.9,6.7,11.8,231.0,82.5,42,304,6.0,5.8,6.8,-33.20
18,Denver Broncos,16,333,534,62.4,3704,24,4.5,9,1.7,7.5,7.6,12.0,231.5,93.1,41,283,6.4,6.6,7.1,-71.37
19,Buffalo Bills,16,321,507,63.3,3714,30,5.9,20,3.9,7.7,7.1,12.2,232.1,90.4,29,210,6.9,6.4,5.4,-70.47
20,Atlanta Falcons,16,340,560,60.7,3786,25,4.5,19,3.4,7.2,6.5,11.8,236.6,83.3,33,231,6.4,5.8,5.6,-46.31
21,Tampa Bay Buccaneers,16,301,481,62.6,3814,30,6.2,14,2.9,8.2,8.2,13.2,238.4,97.2,23,148,7.6,7.5,4.6,-140.77
22,Detroit Lions,16,376,604,62.3,3831,26,4.3,21,3.5,6.8,6.1,10.9,239.4,82.1,41,271,5.9,5.3,6.4,-0.29
23,Dallas Cowboys,16,336,545,61.7,3906,24,4.4,15,2.8,7.6,7.3,12.3,244.1,88.4,42,243,6.7,6.3,7.2,-59.21
24,Carolina Panthers,16,318,490,64.9,3949,28,5.7,14,2.9,8.4,8.3,13.0,246.8,98.3,31,170,7.6,7.4,6.0,-118.82
25,Miami Dolphins,16,350,590,59.3,3992,24,4.1,16,2.7,7.2,6.8,12.1,249.5,83.7,41,241,6.3,5.9,6.5,-31.18
26,Minnesota Vikings,16,367,538,68.2,4019,34,6.3,8,1.5,8.1,8.7,11.9,251.2,107.6,50,342,6.8,7.4,8.5,-136.38
27,Oakland Raiders,16,324,601,53.9,4023,31,5.2,18,3.0,7.1,6.8,13.2,251.4,81.3,39,239,6.3,6.0,6.1,-82.79
28,Chicago Bears,16,383,631,60.7,4065,22,3.5,20,3.2,6.8,6.0,11.2,254.1,79.3,33,208,6.1,5.4,5.0,-7.67
29,New York Giants,16,361,589,61.3,4082,28,4.8,20,3.4,7.5,6.9,12.2,255.1,86.1,48,335,6.4,5.9,7.5,-89.01
30,New Orleans Saints,16,362,626,57.8,4157,24,3.8,9,1.4,7.0,7.2,12.2,259.8,86.4,33,256,6.3,6.4,5.0,-68.83
31,New England Patriots,16,386,619,62.4,4703,26,4.2,23,3.7,8.0,7.2,12.9,293.9,86.1,40,274,7.1,6.4,6.1,-117.25
32,Green Bay Packers,16,390,637,61.2,4796,29,4.6,31,4.9,7.8,6.6,12.8,299.8,80.6,29,192,7.2,6.0,4.4,-64.64
,Avg Team,,327.0,544.1,60.1,3675.0,23.3,4.3,15.8,2.9,7.2,6.7,12.0,229.7,82.5,37.1,241.5,6.32,5.9,6.4,
,League Total,,10464,17410,60.1,117601,745,4.3,506,2.9,7.2,6.7,12.0,229.7,82.5,1188,7729,6.32,5.9,6.4,
,Avg Tm/G,,20.4,34.0,60.1,229.7,1.5,4.3,1.0,2.9,7.2,6.7,12.0,229.7,82.5,2.3,15.1,6.32,5.9,6.4,
