Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,New York Jets,16,263,497,52.9,2740,21,4.2,17,3.4,6.1,5.5,11.6,171.3,71.6,43,315,5.1,4.4,8.0
2,Philadelphia Eagles,16,268,499,53.7,2816,14,2.8,19,3.8,6.3,5.1,11.6,176.0,66.4,48,305,5.1,4.1,8.8
3,Houston Oilers,16,289,553,52.3,3125,24,4.3,21,3.8,6.0,5.2,11.5,195.3,69.3,30,200,5.4,4.6,5.1
4,New York Giants,16,299,508,58.9,3184,17,3.3,16,3.1,6.6,5.9,11.2,199.0,76.7,29,177,5.9,5.2,5.4
5,Kansas City Chiefs,16,329,596,55.2,3222,16,2.7,16,2.7,6.0,5.3,10.8,201.4,70.8,47,347,5.0,4.4,7.3
6,Pittsburgh Steelers,16,314,531,59.1,3240,24,4.5,22,4.1,6.6,5.7,11.2,202.5,76.7,42,272,5.7,4.8,7.3
7,Washington Redskins,16,338,546,61.9,3268,20,3.7,16,2.9,6.2,5.6,10.1,204.3,79.6,30,135,5.7,5.1,5.2
8,Dallas Cowboys,16,293,523,56.0,3272,17,3.3,19,3.6,6.7,5.7,11.9,204.5,72.3,36,219,5.9,4.9,6.4
9,Denver Broncos,16,297,529,56.1,3298,20,3.8,8,1.5,6.7,6.7,11.8,206.1,82.9,30,220,5.9,6.0,5.4
10,Oakland Raiders,16,301,527,57.1,3310,14,2.7,11,2.1,6.9,6.5,12.1,206.9,78.6,43,332,5.8,5.4,7.5
11,San Francisco 49ers,16,330,611,54.0,3337,19,3.1,26,4.3,5.9,4.6,10.8,208.6,64.1,40,240,5.1,3.9,6.1
12,San Diego Chargers,16,321,543,59.1,3383,16,2.9,17,3.1,6.6,5.8,11.2,211.4,75.8,36,222,5.8,5.1,6.2
13,St. Louis Rams,16,320,534,59.9,3441,27,5.1,22,4.1,6.9,6.1,11.6,215.1,80.6,36,258,6.0,5.2,6.3
14,Carolina Panthers,16,310,586,52.9,3451,15,2.6,21,3.6,6.3,5.2,12.0,215.7,66.2,36,265,5.5,4.5,5.8
15,Arizona Cardinals,16,264,461,57.3,3455,33,7.2,19,4.1,7.9,7.5,13.8,215.9,89.5,31,200,7.0,6.6,6.3
16,Buffalo Bills,16,310,582,53.3,3502,14,2.4,17,2.9,6.6,5.8,12.5,218.9,70.0,49,362,5.5,4.8,7.8
17,Jacksonville Jaguars,16,304,509,59.7,3512,28,5.5,13,2.6,7.0,7.0,11.8,219.5,88.9,17,72,6.7,6.6,3.2
18,Seattle Seahawks,16,310,554,56.0,3539,26,4.7,16,2.9,6.7,6.3,12.0,221.2,80.2,28,167,6.1,5.7,4.8
19,Miami Dolphins,16,327,556,58.8,3569,30,5.4,14,2.5,6.8,6.7,11.5,223.1,86.7,29,187,6.1,6.0,5.0
20,Indianapolis Colts,16,336,569,59.1,3570,23,4.0,13,2.3,6.6,6.4,11.1,223.1,82.6,29,169,6.0,5.8,4.8
21,Green Bay Packers,16,351,616,57.0,3640,25,4.1,13,2.1,6.4,6.2,11.2,227.5,80.8,39,275,5.6,5.4,6.0
22,New Orleans Saints,16,329,543,60.6,3723,23,4.2,17,3.1,7.4,6.8,12.2,232.7,84.3,44,275,6.3,5.8,7.5
23,Detroit Lions,16,354,580,61.0,3804,17,2.9,22,3.8,7.1,6.0,11.6,237.8,76.5,42,317,6.1,5.1,6.8
24,Cleveland Browns,16,360,573,62.8,3822,23,4.0,17,3.0,7.0,6.5,11.1,238.9,84.6,29,191,6.3,5.8,4.8
25,New England Patriots,16,342,549,62.3,3886,29,5.3,15,2.7,7.5,7.3,12.0,242.9,91.4,37,221,6.6,6.5,6.3
26,Tampa Bay Buccaneers,16,346,557,62.1,3958,19,3.4,14,2.5,7.4,6.9,11.8,247.4,85.4,25,140,6.8,6.4,4.3
27,Chicago Bears,16,374,595,62.9,4001,27,4.5,16,2.7,7.1,6.8,11.3,250.1,88.1,35,239,6.4,6.1,5.6
28,Minnesota Vikings,16,369,620,59.5,4122,29,4.7,25,4.0,7.1,6.2,12.0,257.6,80.1,44,294,6.2,5.4,6.6
29,Cincinnati Bengals,16,364,602,60.5,4245,25,4.2,12,2.0,7.5,7.4,12.4,265.3,89.2,42,267,6.6,6.5,6.5
30,Atlanta Falcons,16,405,650,62.3,4541,28,4.3,18,2.8,7.3,6.9,11.7,283.8,87.3,30,210,6.7,6.3,4.4
,Avg Team,,323.9,556.6,58.2,3532.5,22.1,4.0,17.1,3.1,6.8,6.2,11.6,220.8,77.5,35.9,236.4,5.96,5.4,6.1
,League Total,,9717,16699,58.2,105976,663,4.0,512,3.1,6.8,6.2,11.6,220.8,77.5,1076,7093,5.96,5.4,6.1
,Avg Tm/G,,20.2,34.8,58.2,220.8,1.4,4.0,1.1,3.1,6.8,6.2,11.6,220.8,77.5,2.2,14.8,5.96,5.4,6.1
