Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Washington Redskins,16,239,465,51.4,2746,19,4.1,23,4.9,6.7,5.3,13.1,171.6,65.9,52,378,5.3,4.0,10.1
2,Pittsburgh Steelers,16,287,484,59.3,2783,18,3.7,20,4.1,6.4,5.3,10.8,173.9,73.3,36,305,5.4,4.3,6.9
3,Chicago Bears,16,249,522,47.7,2816,16,3.1,34,6.5,6.3,4.0,13.2,176.0,51.2,64,483,4.8,2.7,10.9
4,New York Giants,16,278,535,52.0,2838,20,3.7,24,4.5,6.3,5.0,12.1,177.4,65.5,68,539,4.7,3.6,11.3
5,Detroit Lions,16,283,478,59.2,2906,16,3.3,18,3.8,6.8,5.8,11.5,181.6,75.1,45,336,5.6,4.6,8.6
6,Philadelphia Eagles,16,251,478,52.5,2930,18,3.8,18,3.8,6.9,5.9,13.1,183.1,71.4,53,359,5.5,4.7,10.0
7,Los Angeles Raiders,16,251,511,49.1,2998,22,4.3,17,3.3,6.8,6.2,13.9,187.4,71.9,65,488,5.2,4.6,11.3
8,St. Louis Cardinals,16,253,461,54.9,3003,34,7.4,13,2.8,7.1,7.3,12.9,187.7,90.1,32,254,6.1,6.3,6.5
9,New England Patriots,16,262,525,49.9,3059,14,2.7,23,4.4,6.5,5.0,13.0,191.2,61.2,51,334,5.3,4.0,8.9
10,Los Angeles Rams,16,296,548,54.0,3062,19,3.5,29,5.3,6.4,4.7,11.8,191.4,63.1,56,421,5.1,3.5,9.3
11,Buffalo Bills,16,265,477,55.6,3078,24,5.0,20,4.2,6.9,6.0,12.5,192.4,76.5,25,223,6.1,5.3,5.0
12,Cleveland Browns,16,289,509,56.8,3107,18,3.5,18,3.5,6.8,5.9,12.0,194.2,74.8,44,353,5.6,4.8,8.0
13,Green Bay Packers,16,295,509,58.0,3126,22,4.3,15,2.9,6.9,6.4,11.9,195.4,81.2,48,383,5.6,5.2,8.6
14,Denver Broncos,16,277,547,50.6,3206,22,4.0,24,4.4,6.6,5.4,12.9,200.4,66.7,47,378,5.4,4.3,7.9
15,Minnesota Vikings,16,280,490,57.1,3241,20,4.1,22,4.5,7.1,5.9,12.4,202.6,74.1,33,223,6.2,5.1,6.3
16,New York Jets,16,267,507,52.7,3256,17,3.4,22,4.3,7.2,5.9,13.6,203.5,68.9,49,370,5.9,4.7,8.8
17,Seattle Seahawks,16,273,496,55.0,3323,22,4.4,24,4.8,7.6,6.3,13.9,207.7,74.4,61,464,6.0,4.8,11.0
18,Houston Oilers,16,260,462,56.3,3341,29,6.3,15,3.2,7.9,7.7,14.1,208.8,89.3,41,313,6.6,6.5,8.2
19,Indianapolis Colts,16,275,504,54.6,3454,24,4.8,16,3.2,7.4,6.9,13.5,215.9,81.0,36,267,6.4,6.0,6.7
20,Kansas City Chiefs,16,332,576,57.6,3489,22,3.8,27,4.7,6.5,5.2,11.3,218.1,70.5,37,263,5.7,4.4,6.0
21,San Francisco 49ers,16,346,621,55.7,3508,11,1.8,18,2.9,6.4,5.4,11.5,219.3,68.9,60,457,5.2,4.3,8.8
22,Miami Dolphins,16,257,487,52.8,3511,21,4.3,23,4.7,7.8,6.5,14.7,219.4,73.2,38,278,6.7,5.5,7.2
23,New Orleans Saints,16,306,529,57.8,3653,26,4.9,21,4.0,7.5,6.7,13.0,228.3,81.4,46,322,6.4,5.6,8.0
24,Cincinnati Bengals,16,297,518,57.3,3664,26,5.0,19,3.7,7.7,7.1,13.5,229.0,83.5,40,334,6.6,6.0,7.2
25,Tampa Bay Buccaneers,16,318,505,63.0,3678,18,3.6,18,3.6,7.8,6.9,12.4,229.9,84.2,35,277,6.8,6.0,6.5
26,Dallas Cowboys,16,279,549,50.8,3755,20,3.6,33,6.0,7.7,5.7,15.1,234.7,63.5,62,459,6.1,4.4,10.1
27,Atlanta Falcons,16,289,535,54.0,3798,32,6.0,22,4.1,7.7,7.1,14.3,237.4,82.1,42,331,6.6,6.0,7.3
28,San Diego Chargers,16,357,595,60.0,4293,28,4.7,26,4.4,7.7,6.7,12.9,268.3,81.8,40,304,6.8,5.8,6.3
,Avg Team,,282.5,515.1,54.8,3272.2,21.4,4.1,21.5,4.2,7.0,6.0,12.8,204.5,70.7,46.6,353.4,5.83,4.9,8.3
,League Total,,7911,14423,54.8,91622,598,4.1,602,4.2,7.0,6.0,12.8,204.5,70.7,1306,9896,5.83,4.9,8.3
,Avg Tm/G,,17.7,32.2,54.8,204.5,1.3,4.1,1.3,4.2,7.0,6.0,12.8,204.5,70.7,2.9,22.1,5.83,4.9,8.3
