Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Philadelphia Eagles,16,206,467,44.1,2413,16,3.4,26,5.6,6.0,4.2,13.6,150.8,52.1,55,394,4.6,3.0,10.5
2,New Orleans Saints,16,259,491,52.7,2720,12,2.4,29,5.9,6.2,4.1,11.8,170.0,55.5,50,337,5.0,3.1,9.2
3,Denver Broncos,16,246,476,51.7,2755,12,2.5,23,4.8,6.5,4.8,12.6,172.2,60.6,52,346,5.2,3.7,9.8
4,Indianapolis Colts,16,240,388,61.9,2800,22,5.7,15,3.9,7.7,7.1,12.5,175.0,88.7,29,202,6.7,6.2,7.0
5,Tampa Bay Buccaneers,16,257,438,58.7,2872,15,3.4,11,2.5,7.1,6.7,12.2,179.5,81.7,39,258,6.0,5.6,8.2
6,New York Giants,16,251,440,57.0,2874,17,3.9,12,2.7,7.1,6.7,12.5,179.6,80.8,34,254,6.1,5.6,7.2
7,Phoenix Cardinals,16,268,447,60.0,2916,12,2.7,17,3.8,6.9,5.7,11.5,182.3,73.8,25,153,6.2,5.1,5.3
8,Chicago Bears,16,286,513,55.8,2927,19,3.7,17,3.3,6.2,5.5,11.1,182.9,72.9,40,257,5.3,4.6,7.2
9,Washington Redskins,16,292,548,53.3,2947,13,2.4,27,4.9,6.0,4.3,11.3,184.2,58.9,50,345,4.9,3.3,8.4
10,Seattle Seahawks,16,296,517,57.3,3019,18,3.5,18,3.5,6.4,5.5,11.1,188.7,73.4,36,269,5.5,4.6,6.5
11,San Francisco 49ers,16,267,499,53.5,3042,16,3.2,12,2.4,6.5,6.1,12.2,190.1,74.5,31,212,5.7,5.3,5.8
12,Miami Dolphins,16,300,485,61.9,3105,18,3.7,12,2.5,6.9,6.5,11.2,194.1,84.5,35,248,6.0,5.6,6.7
13,Minnesota Vikings,16,286,499,57.3,3179,16,3.2,17,3.4,6.8,5.9,11.9,198.7,74.7,33,217,6.0,5.1,6.2
14,Houston Oilers,16,310,532,58.3,3208,17,3.2,20,3.8,6.6,5.6,11.4,200.5,73.2,45,314,5.6,4.6,7.8
15,Cleveland Browns,16,312,522,59.8,3209,20,3.8,15,2.9,6.6,6.1,11.0,200.6,80.2,35,236,5.8,5.3,6.3
16,Kansas City Chiefs,16,279,471,59.2,3228,17,3.6,15,3.2,7.5,6.8,12.7,201.8,81.5,39,304,6.3,5.7,7.6
17,Green Bay Packers,16,305,531,57.4,3266,20,3.8,15,2.8,6.7,6.2,11.7,204.1,78.8,45,307,5.7,5.2,7.8
18,Los Angeles Raiders,16,295,513,57.5,3276,18,3.5,18,3.5,6.9,6.1,12.1,204.8,76.0,42,283,5.9,5.1,7.6
19,Detroit Lions,16,315,534,59.0,3286,16,3.0,19,3.6,6.6,5.6,11.2,205.4,73.9,30,237,5.8,4.9,5.3
20,Atlanta Falcons,16,252,481,52.4,3295,28,5.8,19,4.0,7.3,6.7,14.0,205.9,79.3,29,237,6.5,5.9,5.7
21,Buffalo Bills,16,299,536,55.8,3414,12,2.2,23,4.3,6.8,5.3,12.2,213.4,66.6,31,246,6.0,4.6,5.5
22,San Diego Chargers,16,300,503,59.6,3445,22,4.4,19,3.8,7.2,6.4,12.1,215.3,80.7,28,183,6.5,5.7,5.3
23,Dallas Cowboys,16,320,540,59.3,3495,17,3.1,12,2.2,6.8,6.4,11.4,218.4,80.8,23,151,6.2,5.9,4.1
24,New York Jets,16,331,540,61.3,3539,21,3.9,18,3.3,7.0,6.3,11.4,221.2,81.3,35,226,6.2,5.5,6.1
25,Los Angeles Rams,16,259,434,59.7,3545,25,5.8,11,2.5,8.4,8.4,14.1,221.6,95.6,17,112,7.9,7.9,3.8
26,Pittsburgh Steelers,16,334,535,62.4,3586,21,3.9,19,3.6,7.2,6.4,11.5,224.1,82.3,38,257,6.3,5.5,6.6
27,New England Patriots,16,335,565,59.3,3852,25,4.4,12,2.1,7.1,7.1,12.0,240.8,87.1,25,183,6.5,6.5,4.2
28,Cincinnati Bengals,16,303,505,60.0,3990,26,5.1,17,3.4,8.2,7.7,13.6,249.4,89.2,21,129,7.6,7.1,4.0
,Avg Team,,285.8,498.2,57.4,3185.8,18.3,3.7,17.4,3.5,6.9,6.0,12.0,199.1,74.2,35.4,246.3,5.97,5.2,6.6
,League Total,,8003,13950,57.4,89203,511,3.7,488,3.5,6.9,6.0,12.0,199.1,74.2,992,6897,5.97,5.2,6.6
,Avg Tm/G,,17.9,31.1,57.4,199.1,1.1,3.7,1.1,3.5,6.9,6.0,12.0,199.1,74.2,2.2,15.4,5.97,5.2,6.6
