Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,St. Louis Cardinals,16,215,436,49.3,2637,21,4.8,10,2.3,6.9,6.8,13.9,164.8,78.3,41,355,5.5,5.5,8.6
2,Chicago Bears,16,243,513,47.4,2667,12,2.3,31,6.0,6.2,3.9,13.0,166.7,49.9,62,503,4.6,2.6,10.8
3,Dallas Cowboys,16,226,464,48.7,2785,21,4.5,17,3.7,6.8,6.0,13.9,174.1,70.8,53,364,5.4,4.7,10.3
4,Detroit Lions,16,279,468,59.6,2800,14,3.0,22,4.7,6.6,5.1,11.1,175.0,69.7,41,290,5.5,4.1,8.1
5,Green Bay Packers,16,267,448,59.6,2920,31,6.9,20,4.5,7.0,6.4,11.8,182.5,85.4,28,222,6.1,5.5,5.9
6,New England Patriots,16,255,473,53.9,2978,15,3.2,21,4.4,7.0,5.7,13.0,186.1,68.4,48,346,5.7,4.5,9.2
7,Atlanta Falcons,16,241,453,53.2,2992,19,4.2,22,4.9,7.0,5.6,13.1,187.0,69.3,26,177,6.2,5.0,5.4
8,Houston Oilers,16,228,490,46.5,2999,25,5.1,16,3.3,6.5,6.1,14.0,187.4,71.5,32,201,5.7,5.3,6.1
9,Los Angeles Raiders,16,271,501,54.1,3076,21,4.2,26,5.2,7.1,5.6,13.1,192.3,68.9,63,463,5.5,4.1,11.2
10,Cincinnati Bengals,16,278,495,56.2,3152,17,3.4,17,3.4,7.1,6.3,12.7,197.0,75.7,42,368,5.9,5.1,7.8
11,Los Angeles Rams,16,313,539,58.1,3190,17,3.2,28,5.2,6.5,4.8,11.1,199.4,66.3,39,292,5.5,3.9,6.7
12,Kansas City Chiefs,16,303,569,53.3,3195,21,3.7,31,5.4,6.2,4.5,11.7,199.7,62.1,44,360,5.2,3.6,7.2
13,Minnesota Vikings,16,276,494,55.9,3216,16,3.2,24,4.9,7.0,5.5,12.6,201.0,68.5,38,259,6.0,4.6,7.1
14,Philadelphia Eagles,16,260,532,48.9,3235,21,3.9,23,4.3,6.8,5.7,14.0,202.2,66.5,53,406,5.5,4.5,9.1
15,Cleveland Browns,16,291,518,56.2,3288,21,4.1,18,3.5,6.8,6.1,12.2,205.5,76.5,35,258,5.9,5.2,6.3
16,Denver Broncos,16,301,545,55.2,3296,21,3.9,18,3.3,6.9,6.2,12.5,206.0,75.9,49,459,5.5,4.9,8.2
17,San Francisco 49ers,16,324,604,53.6,3325,18,3.0,39,6.5,6.2,3.9,11.6,207.8,55.8,51,448,5.1,2.9,7.8
18,Pittsburgh Steelers,16,311,536,58.0,3380,22,4.1,20,3.7,6.8,6.0,11.8,211.3,77.1,43,289,5.8,5.0,7.4
19,New York Giants,16,334,587,56.9,3473,15,2.6,24,4.1,6.6,5.3,11.6,217.1,68.6,59,414,5.4,4.2,9.1
20,Washington Redskins,16,302,532,56.8,3492,21,3.9,19,3.6,7.4,6.5,13.0,218.3,78.3,55,424,5.9,5.2,9.4
21,New Orleans Saints,16,331,576,57.5,3543,21,3.6,26,4.5,6.7,5.4,11.7,221.4,71.4,47,343,5.7,4.5,7.5
22,Miami Dolphins,16,290,485,59.8,3557,22,4.5,13,2.7,7.9,7.6,13.2,222.3,88.7,33,268,6.9,6.6,6.4
23,Seattle Seahawks,16,301,535,56.3,3582,20,3.7,22,4.1,7.3,6.2,12.9,223.9,74.6,47,306,6.2,5.1,8.1
24,Tampa Bay Buccaneers,16,289,484,59.7,3685,23,4.8,13,2.7,7.9,7.7,13.3,230.3,89.5,19,153,7.3,7.1,3.8
25,San Diego Chargers,16,288,509,56.6,3688,27,5.3,15,2.9,8.1,7.8,14.3,230.5,88.4,62,440,6.5,6.2,10.9
26,Indianapolis Colts,16,306,510,60.0,3739,28,5.5,16,3.1,7.7,7.4,12.9,233.7,89.4,24,194,7.0,6.7,4.5
27,Buffalo Bills,16,343,570,60.2,3802,21,3.7,10,1.8,7.1,7.1,11.9,237.6,86.9,36,267,6.3,6.2,5.9
28,New York Jets,16,348,603,57.7,4389,35,5.8,20,3.3,7.6,7.2,13.1,274.3,87.3,28,178,7.0,6.6,4.4
,Avg Team,,286.2,516.8,55.4,3288.6,20.9,4.1,20.8,4.0,7.0,6.0,12.6,205.5,71.5,42.8,323.1,5.88,5.0,7.6
,League Total,,8014,14469,55.4,92081,586,4.1,581,4.0,7.0,6.0,12.6,205.5,71.5,1198,9047,5.88,5.0,7.6
,Avg Tm/G,,17.9,32.3,55.4,205.5,1.3,4.1,1.3,4.0,7.0,6.0,12.6,205.5,71.5,2.7,20.2,5.88,5.0,7.6
