Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Philadelphia Eagles,16,248,507,48.9,2696,12,2.4,26,5.1,6.0,4.2,12.3,168.5,54.4,40,354,4.9,3.2,7.3
2,Los Angeles Rams,16,204,439,46.5,2727,17,3.9,17,3.9,7.0,6.0,15.0,170.4,66.6,43,330,5.7,4.8,8.9
3,San Francisco 49ers,16,273,514,53.1,2845,16,3.1,27,5.3,6.1,4.4,11.5,177.8,60.2,36,290,5.2,3.5,6.5
4,Buffalo Bills,16,267,474,56.3,2870,21,4.4,19,4.0,6.8,5.9,12.1,179.4,75.6,47,373,5.5,4.7,9.0
5,Denver Broncos,16,267,497,53.7,2873,13,2.6,23,4.6,6.4,4.8,11.9,179.6,62.8,36,295,5.4,3.9,6.8
6,New England Patriots,16,243,439,55.4,2877,18,4.1,16,3.6,7.0,6.1,12.6,179.8,75.7,20,175,6.3,5.5,4.4
7,New York Giants,16,294,544,54.0,2934,14,2.6,17,3.1,6.1,5.2,11.3,183.4,68.1,44,384,5.0,4.2,7.5
8,New York Jets,16,275,505,54.5,3004,15,3.0,21,4.2,7.0,5.7,12.8,187.8,69.1,66,518,5.3,4.1,11.6
9,Washington Redskins,16,214,452,47.3,3045,21,4.6,24,5.3,7.3,5.9,15.5,190.3,65.4,32,265,6.3,4.9,6.6
10,Green Bay Packers,16,284,505,56.2,3087,18,3.6,30,5.9,6.6,4.7,11.8,192.9,63.7,36,266,5.7,3.9,6.7
11,Seattle Seahawks,16,294,502,58.6,3134,25,5.0,21,4.2,6.8,5.9,11.5,195.9,78.2,36,260,5.8,5.0,6.7
12,Tampa Bay Buccaneers,16,317,541,58.6,3140,10,1.8,32,5.9,6.1,3.8,10.4,196.3,57.8,23,157,5.6,3.4,4.1
13,Detroit Lions,16,261,475,54.9,3223,22,4.6,24,5.1,7.6,6.2,13.8,201.4,73.8,47,373,6.2,4.9,9.0
14,Chicago Bears,16,233,525,44.4,3248,23,4.4,18,3.4,6.7,6.1,15.1,203.0,67.4,31,279,5.8,5.2,5.6
15,Cleveland Browns,16,275,469,58.6,3289,28,6.0,15,3.2,7.5,7.2,12.8,205.6,88.7,29,223,6.6,6.4,5.8
16,St. Louis Cardinals,16,282,495,57.0,3295,29,5.9,21,4.2,7.2,6.4,12.6,205.9,81.3,32,252,6.3,5.6,6.1
17,Houston Oilers,16,295,502,58.8,3315,22,4.4,18,3.6,7.1,6.3,12.0,207.2,80.2,33,239,6.2,5.5,6.2
18,Minnesota Vikings,16,265,481,55.1,3328,26,5.4,16,3.3,7.5,7.1,13.6,208.0,83.3,33,271,6.5,6.1,6.4
19,Miami Dolphins,16,297,509,58.3,3331,23,4.5,18,3.5,7.2,6.5,12.3,208.2,80.9,38,314,6.1,5.4,6.9
20,New Orleans Saints,16,287,471,60.9,3337,26,5.5,17,3.6,7.6,7.1,12.5,208.6,87.9,27,241,6.7,6.2,5.4
21,Dallas Cowboys,16,236,511,46.2,3370,17,3.3,37,7.2,7.3,4.7,15.8,210.6,51.8,42,347,6.1,3.7,7.6
22,Cincinnati Bengals,16,316,548,57.7,3408,24,4.4,19,3.5,6.9,6.2,11.9,213.0,78.9,42,349,5.8,5.1,7.1
23,Kansas City Chiefs,16,291,567,51.3,3626,16,2.8,26,4.6,6.7,5.2,13.1,226.6,63.2,27,195,6.1,4.7,4.5
24,Oakland Raiders,16,289,537,53.8,3641,24,4.5,13,2.4,7.5,7.3,13.9,227.6,82.9,52,370,6.2,6.0,8.8
25,Atlanta Falcons,16,322,565,57.0,3688,30,5.3,25,4.4,7.0,6.0,12.2,230.5,77.8,29,239,6.2,5.3,4.9
26,Pittsburgh Steelers,16,302,544,55.5,3783,22,4.0,30,5.5,7.6,5.9,13.6,236.4,70.3,40,325,6.5,4.9,6.8
27,Baltimore Colts,16,301,491,61.3,4128,37,7.5,16,3.3,8.6,8.7,14.0,258.0,100.6,13,100,8.2,8.2,2.6
28,San Diego Chargers,16,313,571,54.8,4311,22,3.9,23,4.0,8.2,7.2,15.0,269.4,78.1,47,384,7.0,6.0,7.6
,Avg Team,,276.6,506.4,54.6,3269.8,21.1,4.2,21.8,4.3,7.0,5.9,12.9,204.4,70.5,36.5,291.7,6.02,5.0,6.7
,League Total,,7745,14180,54.6,91553,591,4.2,609,4.3,7.0,5.9,12.9,204.4,70.5,1021,8168,6.02,5.0,6.7
,Avg Tm/G,,17.3,31.7,54.6,204.4,1.3,4.2,1.4,4.3,7.0,5.9,12.9,204.4,70.5,2.3,18.2,6.02,5.0,6.7
