Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Tampa Bay Buccaneers,16,247,436,56.7,2579,21,4.8,16,3.7,6.5,5.8,11.5,161.2,77.2,45,264,5.4,4.7,9.4,46.38
2,Miami Dolphins,16,244,434,56.2,2592,20,4.6,15,3.5,6.5,5.9,11.5,162.0,76.9,36,223,5.5,4.9,7.7,1.70
3,Buffalo Bills,16,261,486,53.7,2624,20,4.1,24,4.9,6.1,4.7,11.3,164.0,65.2,45,319,4.9,3.7,8.5,51.54
4,Pittsburgh Steelers,16,269,484,55.6,2835,14,2.9,19,3.9,6.3,5.1,11.4,177.2,68.0,41,225,5.4,4.3,7.8,69.88
5,Cleveland Browns,16,277,460,60.2,2901,17,3.7,15,3.3,6.7,6.0,11.2,181.3,79.0,32,190,5.9,5.2,6.5,-0.54
6,Denver Broncos,16,272,484,56.2,2947,17,3.5,12,2.5,6.6,6.2,11.8,184.2,78.0,38,266,5.6,5.3,7.3,5.48
7,Washington Redskins,16,294,515,57.1,2977,17,3.3,18,3.5,6.3,5.3,11.0,186.1,72.2,40,245,5.4,4.5,7.2,32.30
8,New York Giants,16,292,467,62.5,3030,28,6.0,14,3.0,7.0,6.9,11.2,189.4,90.9,40,250,6.0,5.8,7.9,-56.74
9,Arizona Cardinals,16,271,505,53.7,3036,18,3.6,15,3.0,6.5,5.8,12.0,189.8,73.2,38,229,5.6,5.0,7.0,21.49
10,Baltimore Ravens,16,276,501,55.1,3122,14,2.8,21,4.2,6.8,5.4,12.3,195.1,68.0,39,264,5.8,4.6,7.2,99.21
11,St. Louis Rams,16,292,492,59.3,3174,24,4.9,6,1.2,6.9,7.4,11.7,198.4,91.6,34,241,6.0,6.4,6.5,-56.84
12,Philadelphia Eagles,16,334,550,60.7,3212,16,2.9,17,3.1,6.3,5.5,10.4,200.8,75.8,47,263,5.4,4.6,7.9,11.07
13,Cincinnati Bengals,16,313,520,60.2,3303,23,4.4,20,3.8,6.8,6.0,11.4,206.4,79.5,37,257,5.9,5.1,6.6,32.81
14,New York Jets,16,289,497,58.1,3312,21,4.2,19,3.8,7.1,6.2,12.2,207.0,78.3,37,220,6.2,5.4,6.9,-22.71
15,Chicago Bears,16,287,515,55.7,3340,23,4.5,17,3.3,6.8,6.2,12.2,208.8,78.1,35,173,6.1,5.5,6.4,38.73
16,Jacksonville Jaguars,16,306,497,61.6,3357,18,3.6,16,3.2,7.2,6.5,11.7,209.8,82.0,37,217,6.3,5.6,6.9,-44.37
17,New England Patriots,16,315,538,58.6,3400,18,3.3,20,3.7,6.9,5.9,11.8,212.5,75.3,45,311,5.8,4.9,7.7,23.07
18,Carolina Panthers,16,303,513,59.1,3478,18,3.5,26,5.1,7.2,5.6,12.2,217.4,72.0,34,225,6.4,4.9,6.2,-19.66
19,San Francisco 49ers,16,308,490,62.9,3486,27,5.5,9,1.8,7.5,7.8,11.9,217.9,96.5,29,194,6.7,7.0,5.6,-84.42
20,Detroit Lions,16,328,535,61.3,3514,29,5.4,14,2.6,7.0,6.9,11.4,219.6,89.4,38,222,6.1,6.0,6.6,-50.26
21,Dallas Cowboys,16,310,502,61.8,3521,31,6.2,13,2.6,7.4,7.5,12.0,220.1,94.2,33,197,6.6,6.6,6.2,-84.59
22,Atlanta Falcons,16,328,517,63.4,3526,19,3.7,19,3.7,7.4,6.5,11.7,220.4,82.8,48,312,6.2,5.4,8.5,-11.25
23,Seattle Seahawks,16,340,559,60.8,3590,24,4.3,23,4.1,6.8,5.8,11.2,224.4,78.3,36,218,6.0,5.1,6.1,-26.75
24,Houston Texans,16,344,530,64.9,3615,32,6.0,22,4.2,7.1,6.5,11.0,225.9,88.7,24,161,6.5,5.9,4.3,-33.44
25,Green Bay Packers,16,314,518,60.6,3663,33,6.4,8,1.5,7.6,8.2,12.6,228.9,99.1,40,280,6.6,7.1,7.2,-97.97
26,Tennessee Titans,16,333,524,63.5,3807,29,5.5,18,3.4,7.7,7.2,12.1,237.9,91.2,32,220,6.8,6.4,5.8,-68.43
27,New Orleans Saints,16,324,545,59.4,3888,24,4.4,13,2.4,7.5,7.3,12.6,243.0,87.7,37,207,6.7,6.5,6.4,-69.21
28,Indianapolis Colts,16,364,557,65.4,3892,26,4.7,19,3.4,7.6,7.0,11.6,243.3,89.5,45,340,6.5,5.9,7.5,-71.86
29,Minnesota Vikings,16,338,544,62.1,3896,30,5.5,11,2.0,7.6,7.8,12.2,243.5,95.5,39,234,6.7,6.9,6.7,-122.99
30,Oakland Raiders,16,315,510,61.8,3924,30,5.9,9,1.8,8.1,8.4,13.0,245.3,99.4,25,182,7.3,7.7,4.7,-171.09
31,San Diego Chargers,16,372,607,61.3,4053,19,3.1,23,3.8,6.9,5.8,11.3,253.3,76.6,29,142,6.4,5.3,4.6,-30.03
32,Kansas City Chiefs,16,312,522,59.8,4203,32,6.1,13,2.5,8.5,8.6,14.3,262.7,97.5,41,250,7.5,7.6,7.3,-116.89
,Avg Team,,305.4,511.1,59.8,3368.7,22.9,4.5,16.4,3.2,7.1,6.5,11.8,210.5,80.9,37.4,235.7,6.14,5.6,6.8,
,League Total,,9772,16354,59.8,107797,732,4.5,524,3.2,7.1,6.5,11.8,210.5,80.9,1196,7541,6.14,5.6,6.8,
,Avg Tm/G,,19.1,31.9,59.8,210.5,1.4,4.5,1.0,3.2,7.1,6.5,11.8,210.5,80.9,2.3,14.7,6.14,5.6,6.8,
