Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Philadelphia Eagles,16,249,449,55.5,2720,18,4.0,9,2.0,6.7,6.6,12.1,170.0,81.2,42,281,5.5,5.4,8.6
2,Tampa Bay Buccaneers,16,274,473,57.9,2762,15,3.2,12,2.5,6.4,5.9,11.0,172.6,76.9,37,252,5.4,4.9,7.3
3,St. Louis Rams,16,256,475,53.9,2831,28,5.9,16,3.4,6.7,6.4,12.4,176.9,80.5,50,349,5.4,5.1,9.5
4,Oakland Raiders,16,291,497,58.6,2876,22,4.4,21,4.2,6.3,5.3,10.8,179.8,74.3,41,258,5.3,4.4,7.6
5,Washington Redskins,16,281,493,57.0,2918,21,4.3,13,2.6,6.3,6.0,11.1,182.4,79.1,33,194,5.5,5.2,6.3
6,Miami Dolphins,16,252,504,50.0,2924,17,3.4,29,5.8,6.3,4.4,12.7,182.8,57.4,45,270,5.3,3.6,8.2
7,Kansas City Chiefs,16,259,479,54.1,2985,17,3.5,13,2.7,6.8,6.3,12.6,186.6,76.0,40,268,5.8,5.3,7.7
8,Detroit Lions,16,284,474,59.9,3015,23,4.9,12,2.5,6.9,6.7,11.5,188.4,86.4,43,261,5.8,5.7,8.3
9,New York Jets,16,285,544,52.4,3040,16,2.9,21,3.9,6.1,4.9,11.6,190.0,64.7,36,259,5.2,4.2,6.2
10,Green Bay Packers,16,296,540,54.8,3065,23,4.3,13,2.4,6.3,6.1,11.5,191.6,78.2,50,336,5.2,5.0,8.5
11,San Diego Chargers,16,271,530,51.1,3068,21,4.0,20,3.8,6.3,5.3,12.2,191.8,68.2,39,246,5.4,4.5,6.9
12,Cincinnati Bengals,16,233,406,57.4,3151,23,5.7,13,3.2,8.3,7.9,14.4,196.9,89.8,28,199,7.3,7.0,6.5
13,New York Giants,16,282,521,54.1,3167,17,3.3,19,3.6,6.7,5.7,12.4,197.9,70.9,54,336,5.5,4.6,9.4
14,Buffalo Bills,16,294,532,55.3,3198,27,5.1,18,3.4,6.5,6.0,11.8,199.9,78.2,43,276,5.6,5.1,7.5
15,Chicago Bears,16,292,456,64.0,3228,27,5.9,14,3.1,7.5,7.3,11.6,201.8,93.5,28,173,6.7,6.5,5.8
16,Indianapolis Colts,16,275,461,59.7,3266,27,5.9,8,1.7,7.6,8.0,12.7,204.1,95.7,38,231,6.5,6.9,7.6
17,Arizona Cardinals,16,299,518,57.7,3276,21,4.1,20,3.9,6.8,5.9,11.8,204.8,76.0,39,250,5.9,5.0,7.0
18,Pittsburgh Steelers,16,268,482,55.6,3321,17,3.5,16,3.3,7.4,6.6,13.3,207.6,77.1,41,238,6.3,5.6,7.8
19,Minnesota Vikings,16,320,555,57.7,3452,17,3.1,19,3.4,6.7,5.7,11.6,215.8,73.8,38,247,5.8,5.0,6.4
20,Tennessee Oilers,16,319,511,62.4,3511,24,4.7,12,2.3,7.2,7.1,11.5,219.4,90.0,30,172,6.5,6.4,5.5
21,Atlanta Falcons,16,311,551,56.4,3531,22,4.0,19,3.4,6.9,6.2,12.2,220.7,76.8,38,275,6.0,5.3,6.5
22,Dallas Cowboys,16,290,553,52.4,3545,21,3.8,14,2.5,6.8,6.4,13.0,221.6,76.3,34,222,6.0,5.7,5.8
23,Jacksonville Jaguars,16,325,577,56.3,3559,23,4.0,13,2.3,6.5,6.3,11.6,222.4,80.1,30,209,5.9,5.7,4.9
24,Baltimore Ravens,16,316,539,58.6,3592,20,3.7,17,3.2,7.2,6.5,12.3,224.5,80.1,39,286,6.2,5.6,6.7
25,New England Patriots,16,336,570,58.9,3635,26,4.6,24,4.2,6.8,5.8,11.5,227.2,77.1,36,222,6.0,5.1,5.9
26,Denver Broncos,16,345,596,57.9,3648,28,4.7,19,3.2,6.7,6.2,11.5,228.0,80.5,47,335,5.7,5.2,7.3
27,Seattle Seahawks,16,343,597,57.5,3690,18,3.0,24,4.0,6.7,5.4,11.6,230.6,71.0,53,282,5.7,4.6,8.2
28,Carolina Panthers,16,298,501,59.5,3709,30,6.0,19,3.8,7.9,7.3,13.2,231.8,88.6,37,228,6.9,6.4,6.9
29,San Francisco 49ers,16,294,566,51.9,3733,25,4.4,21,3.7,7.1,6.3,13.6,233.3,74.0,51,259,6.1,5.3,8.3
30,New Orleans Saints,16,328,539,60.9,3968,24,4.5,21,3.9,7.9,7.0,13.0,248.0,84.3,47,288,6.8,6.0,8.0
,Avg Team,,292.2,516.3,56.6,3279.5,21.9,4.2,17.0,3.3,6.8,6.2,12.1,205.0,76.2,40.2,256.7,5.89,5.3,7.2
,League Total,,8766,15489,56.6,98384,658,4.2,509,3.3,6.8,6.2,12.1,205.0,76.2,1207,7702,5.89,5.3,7.2
,Avg Tm/G,,18.3,32.3,56.6,205.0,1.4,4.2,1.1,3.3,6.8,6.2,12.1,205.0,76.2,2.5,16.0,5.89,5.3,7.2
