Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Pittsburgh Steelers,16,299,523,57.2,2963,19,3.6,10,1.9,6.0,5.9,10.6,185.2,79.0,37,196,5.3,5.2,6.6,-12.79
2,New York Jets,16,266,494,53.8,3036,20,4.0,11,2.2,6.5,6.3,12.1,189.8,78.2,30,170,5.8,5.6,5.7,-26.39
3,Denver Broncos,16,321,559,57.4,3194,25,4.5,16,2.9,6.4,6.0,11.1,199.6,79.4,52,364,5.2,4.9,8.5,31.07
4,San Francisco 49ers,16,337,567,59.4,3203,19,3.4,14,2.5,6.1,5.7,10.3,200.2,78.0,38,270,5.3,4.9,6.3,-34.60
5,Arizona Cardinals,16,270,497,54.3,3213,20,4.0,22,4.4,6.9,5.7,12.7,200.8,71.2,38,228,6.0,4.9,7.1,26.65
6,Seattle Seahawks,16,327,564,58.0,3250,15,2.7,18,3.2,6.2,5.3,10.7,203.1,71.8,36,247,5.4,4.6,6.0,17.48
7,Cincinnati Bengals,16,346,560,61.8,3400,16,2.9,14,2.5,6.7,6.2,10.9,212.5,80.7,51,361,5.6,5.1,8.3,25.72
8,Chicago Bears,16,350,592,59.1,3423,19,3.2,24,4.1,6.3,5.1,10.6,213.9,71.3,41,289,5.4,4.3,6.5,72.01
9,Philadelphia Eagles,16,292,485,60.2,3470,33,6.8,8,1.6,7.6,8.2,12.6,216.9,99.6,30,198,6.7,7.3,5.8,-122.32
10,Buffalo Bills,16,306,536,57.1,3473,25,4.7,12,2.2,6.8,6.8,12.0,217.1,84.4,36,196,6.1,6.0,6.3,-48.63
11,Green Bay Packers,16,313,568,55.1,3492,24,4.2,18,3.2,6.7,6.1,12.1,218.3,76.8,47,309,5.7,5.1,7.6,-20.60
12,Kansas City Chiefs,16,279,464,60.1,3533,29,6.3,7,1.5,8.0,8.5,13.2,220.8,99.9,27,161,7.2,7.7,5.5,-135.65
13,Carolina Panthers,16,371,555,66.8,3568,22,4.0,11,2.0,6.9,6.8,10.4,223.0,91.7,39,284,6.0,5.9,6.6,-53.88
14,Detroit Lions,16,346,544,63.6,3569,26,4.8,11,2.0,7.0,7.0,11.0,223.1,91.7,34,237,6.2,6.2,5.9,-90.21
15,St. Louis Rams,16,362,547,66.2,3602,16,2.9,17,3.1,7.2,6.4,10.8,225.1,83.9,52,325,6.0,5.3,8.7,-10.28
16,Houston Texans,16,308,581,53.0,3612,29,5.0,15,2.6,6.7,6.5,12.6,225.8,80.0,44,269,5.8,5.6,7.0,4.33
17,Baltimore Ravens,16,335,557,60.1,3650,15,2.7,13,2.3,7.0,6.5,11.6,228.1,80.6,37,250,6.1,5.7,6.2,-51.65
18,San Diego Chargers,16,347,568,61.1,3681,28,4.9,14,2.5,6.9,6.8,11.3,230.1,87.9,38,244,6.1,6.0,6.3,-53.69
19,Dallas Cowboys,16,320,511,62.6,3684,22,4.3,7,1.4,7.6,7.9,12.2,230.3,94.7,34,211,6.8,7.0,6.2,-121.34
20,Oakland Raiders,16,347,526,66.0,3775,28,5.3,11,2.1,7.5,7.7,11.4,235.9,97.5,25,185,6.9,7.0,4.5,-108.43
21,Indianapolis Colts,16,334,535,62.4,3788,23,4.3,12,2.2,7.4,7.3,11.9,236.8,90.1,32,189,6.7,6.5,5.6,-115.08
22,Jacksonville Jaguars,16,341,535,63.7,3832,21,3.9,12,2.2,7.4,7.2,11.6,239.5,89.8,20,128,6.9,6.7,3.6,-112.85
23,Atlanta Falcons,16,337,551,61.2,3878,14,2.5,20,3.6,7.4,6.2,12.0,242.4,77.1,29,182,6.7,5.6,5.0,-49.35
24,Minnesota Vikings,16,391,612,63.9,3908,28,4.6,10,1.6,6.8,7.0,10.7,244.3,92.3,44,284,6.0,6.1,6.7,-110.94
25,Cleveland Browns,16,378,600,63.0,3923,27,4.5,17,2.8,6.9,6.6,11.0,245.2,86.6,38,233,6.1,5.8,6.0,-76.19
26,Tennessee Titans,16,374,564,66.3,3964,31,5.5,19,3.4,7.5,7.0,11.2,247.8,92.7,39,241,6.6,6.2,6.5,-61.42
27,Miami Dolphins,16,353,600,58.8,3974,18,3.0,10,1.7,7.0,6.9,11.9,248.4,83.4,42,242,6.2,6.0,6.5,-63.71
28,New York Giants,16,341,534,63.9,4068,26,4.9,21,3.9,8.1,7.3,12.6,254.3,88.7,33,231,7.2,6.4,5.8,-56.43
29,New England Patriots,16,369,594,62.1,4342,27,4.5,20,3.4,7.7,7.1,12.3,271.4,86.9,37,213,6.9,6.3,5.9,-80.65
30,Washington Redskins,16,393,636,61.8,4511,31,4.9,21,3.3,7.4,6.9,12.0,281.9,87.0,32,209,6.8,6.3,4.8,-90.01
31,New Orleans Saints,16,370,602,61.5,4681,31,5.1,15,2.5,8.1,8.0,13.2,292.6,93.8,30,194,7.4,7.3,4.7,-131.01
32,Tampa Bay Buccaneers,16,410,627,65.4,4758,30,4.8,18,2.9,7.9,7.6,12.1,297.4,93.5,27,193,7.3,7.0,4.1,-112.61
,Avg Team,,338.5,555.9,60.9,3700.6,23.7,4.3,14.6,2.6,7.1,6.7,11.6,231.3,83.8,36.5,235.4,6.25,5.9,6.2,
,League Total,,10833,17788,60.9,118418,757,4.3,468,2.6,7.1,6.7,11.6,231.3,83.8,1169,7533,6.25,5.9,6.2,
,Avg Tm/G,,21.2,34.7,60.9,231.3,1.5,4.3,0.9,2.6,7.1,6.7,11.6,231.3,83.8,2.3,14.7,6.25,5.9,6.2,
