Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,San Francisco 49ers,15,224,467,48.0,2484,13,2.8,25,5.4,5.9,4.1,12.4,165.6,53.8,37,287,4.9,3.2,7.3
2,Los Angeles Raiders,15,224,425,52.7,2727,18,4.2,13,3.1,7.3,6.7,13.8,181.8,77.7,44,361,5.8,5.3,9.4
3,Indianapolis Colts,15,250,501,49.9,2760,19,3.8,20,4.0,6.1,5.1,12.3,184.0,65.2,39,313,5.1,4.1,7.2
4,San Diego Chargers,15,227,441,51.5,2782,19,4.3,13,2.9,7.0,6.5,13.6,185.5,76.2,45,298,5.7,5.3,9.3
5,Denver Broncos,15,261,456,57.2,2796,15,3.3,28,6.1,6.7,4.6,11.6,186.4,62.9,31,244,5.7,3.8,6.4
6,New Orleans Saints,15,246,489,50.3,2800,25,5.1,30,6.1,6.5,4.7,12.8,186.7,62.4,47,355,5.2,3.6,8.8
7,Chicago Bears,15,255,507,50.3,2802,24,4.7,13,2.6,6.5,6.3,12.9,186.8,76.1,70,484,4.9,4.7,12.1
8,Cleveland Browns,15,246,467,52.7,2831,15,3.2,23,4.9,6.6,5.0,12.6,188.7,63.7,34,257,5.7,4.2,6.8
9,Buffalo Bills,15,249,447,55.7,2854,25,5.6,17,3.8,7.0,6.4,12.5,190.3,80.4,34,267,5.9,5.4,7.1
10,New York Giants,15,292,508,57.5,2890,17,3.3,20,3.9,6.4,5.3,11.2,192.7,71.6,55,382,5.1,4.1,9.8
11,Tampa Bay Buccaneers,15,271,457,59.3,2949,23,5.0,16,3.5,7.1,6.6,12.0,196.6,83.4,39,306,5.9,5.4,7.9
12,Seattle Seahawks,15,255,445,57.3,2958,20,4.5,17,3.8,7.2,6.4,12.5,197.2,78.8,37,238,6.1,5.4,7.7
13,Green Bay Packers,15,279,469,59.5,3003,14,3.0,18,3.8,6.8,5.7,11.5,200.2,74.0,34,197,6.0,4.9,6.8
14,Cincinnati Bengals,15,267,456,58.6,3056,24,5.3,14,3.1,7.4,7.0,12.6,203.7,86.3,40,303,6.2,5.9,8.1
15,New England Patriots,15,273,520,52.5,3099,17,3.3,21,4.0,6.6,5.4,12.6,206.6,67.5,43,339,5.5,4.4,7.6
16,Minnesota Vikings,15,278,498,55.8,3100,24,4.8,26,5.2,6.8,5.5,12.3,206.7,71.4,41,307,5.8,4.5,7.6
17,Houston Oilers,15,266,495,53.7,3145,25,5.1,23,4.6,6.9,5.8,12.8,209.7,73.1,35,271,5.9,4.9,6.6
18,Atlanta Falcons,15,243,453,53.6,3173,26,5.7,15,3.3,7.3,6.9,13.5,211.5,82.4,17,118,6.8,6.4,3.6
19,Detroit Lions,15,259,459,56.4,3203,23,5.0,19,4.1,7.8,6.9,13.7,213.5,80.9,42,355,6.4,5.6,8.4
20,New York Jets,15,260,488,53.3,3206,27,5.5,18,3.7,7.0,6.4,13.1,213.7,78.7,29,206,6.2,5.7,5.6
21,Miami Dolphins,15,295,494,59.7,3247,21,4.3,16,3.2,6.9,6.3,11.6,216.5,81.5,21,183,6.3,5.7,4.1
22,Kansas City Chiefs,15,279,484,57.6,3306,25,5.2,11,2.3,7.2,7.2,12.4,220.4,87.8,26,167,6.5,6.5,5.1
23,Pittsburgh Steelers,15,290,481,60.3,3310,22,4.6,27,5.6,7.3,5.7,12.1,220.7,74.6,26,196,6.5,5.0,5.1
24,Washington Redskins,15,276,527,52.4,3343,19,3.6,23,4.4,7.1,5.9,13.6,222.9,69.3,53,424,5.8,4.6,9.1
25,St. Louis Cardinals,15,276,490,56.3,3383,30,6.1,14,2.9,7.5,7.4,13.3,225.5,88.7,41,285,6.4,6.3,7.7
26,Los Angeles Rams,15,281,504,55.8,3389,31,6.2,16,3.2,7.3,7.1,13.1,225.9,86.4,38,304,6.3,6.1,7.0
27,Dallas Cowboys,15,269,502,53.6,3444,21,4.2,23,4.6,7.5,6.3,14.1,229.6,73.0,51,337,6.2,5.1,9.2
28,Philadelphia Eagles,15,305,561,54.4,3606,29,5.2,21,3.7,7.2,6.6,13.3,240.4,79.2,57,452,5.8,5.2,9.2
,Avg Team,,264.1,481.8,54.8,3058.8,21.8,4.5,19.3,4.0,7.0,6.1,12.7,203.9,72.6,39.5,294.1,5.87,5.0,7.6
,League Total,,7396,13491,54.8,85646,611,4.5,540,4.0,7.0,6.1,12.7,203.9,72.6,1106,8236,5.87,5.0,7.6
,Avg Tm/G,,17.6,32.1,54.8,203.9,1.5,4.5,1.3,4.0,7.0,6.1,12.7,203.9,72.6,2.6,19.6,5.87,5.0,7.6
