Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Green Bay Packers,16,283,544,52.0,2740,12,2.2,26,4.8,5.4,3.7,10.4,171.3,55.4,37,202,4.7,3.1,6.4
2,Dallas Cowboys,16,271,484,56.0,2806,10,2.1,19,3.9,6.3,4.9,11.2,175.4,65.3,37,219,5.4,4.1,7.1
3,New Orleans Saints,16,267,465,57.4,2834,22,4.7,12,2.6,6.7,6.5,11.7,177.1,82.9,41,283,5.6,5.4,8.1
4,Tampa Bay Buccaneers,16,311,503,61.8,2925,17,3.4,17,3.4,6.2,5.4,10.1,182.8,76.7,35,207,5.4,4.6,6.5
5,Pittsburgh Steelers,16,322,547,58.9,2947,17,3.1,23,4.2,6.1,4.8,10.3,184.2,69.2,51,369,4.9,3.8,8.5
6,Philadelphia Eagles,16,271,500,54.2,2979,18,3.6,19,3.8,6.5,5.5,12.0,186.2,70.4,40,264,5.5,4.6,7.4
7,Oakland Raiders,16,284,513,55.4,3021,22,4.3,17,3.3,6.4,5.7,11.5,188.8,75.3,34,252,5.5,4.9,6.2
8,Buffalo Bills,16,292,562,52.0,3068,11,2.0,14,2.5,6.1,5.3,11.7,191.8,66.8,48,341,5.0,4.4,7.9
9,Minnesota Vikings,16,314,537,58.5,3121,18,3.4,22,4.1,6.3,5.1,10.8,195.1,71.2,43,263,5.4,4.3,7.4
10,Denver Broncos,16,302,566,53.4,3139,22,3.9,23,4.1,6.0,5.0,11.3,196.2,67.7,40,274,5.2,4.2,6.6
11,San Francisco 49ers,16,287,558,51.4,3164,21,3.8,20,3.6,6.2,5.3,12.1,197.8,68.4,45,297,5.2,4.5,7.5
12,Carolina Panthers,16,307,556,55.2,3214,17,3.1,22,4.0,6.4,5.3,11.7,200.9,68.7,60,371,5.2,4.2,9.7
13,Houston Oilers,16,312,524,59.5,3225,24,4.6,12,2.3,6.6,6.5,11.1,201.6,85.0,35,242,5.8,5.7,6.3
14,Chicago Bears,16,314,524,59.9,3267,21,4.0,17,3.2,6.6,6.0,11.1,204.2,79.5,30,209,5.9,5.3,5.4
15,New York Giants,16,317,533,59.5,3299,15,2.8,22,4.1,6.5,5.2,11.0,206.2,71.0,30,178,5.9,4.6,5.3
16,Jacksonville Jaguars,16,290,508,57.1,3304,24,4.7,13,2.6,7.0,6.8,12.2,206.5,83.8,37,237,6.1,5.9,6.8
17,Seattle Seahawks,16,303,512,59.2,3339,25,4.9,14,2.7,7.1,6.8,12.0,208.7,85.8,48,285,6.0,5.7,8.6
18,Detroit Lions,16,311,502,62.0,3344,28,5.6,11,2.2,7.1,7.3,11.5,209.0,92.9,32,233,6.3,6.4,6.0
19,New York Jets,16,257,456,56.4,3364,33,7.2,11,2.4,7.8,8.1,13.8,210.3,95.5,28,178,7.0,7.3,5.8
20,Washington Redskins,16,325,560,58.0,3448,12,2.1,21,3.8,6.5,5.3,11.2,215.5,69.2,34,207,5.8,4.6,5.7
21,Arizona Cardinals,16,311,520,59.8,3499,21,4.0,11,2.1,7.1,6.9,11.8,218.7,86.1,28,185,6.4,6.2,5.1
22,Kansas City Chiefs,16,289,536,53.9,3538,19,3.5,17,3.2,7.0,6.2,12.9,221.1,74.6,31,193,6.2,5.6,5.5
23,Indianapolis Colts,16,318,534,59.6,3643,25,4.7,13,2.4,7.2,7.0,12.0,227.7,87.0,29,182,6.5,6.3,5.2
24,Miami Dolphins,16,337,539,62.5,3655,29,5.4,20,3.7,7.2,6.6,11.5,228.4,86.7,37,233,6.3,5.8,6.4
25,San Diego Chargers,16,369,636,58.0,3666,28,4.4,22,3.5,6.1,5.4,10.5,229.1,76.0,33,201,5.5,4.8,4.9
26,St. Louis Rams,16,341,558,61.1,3675,23,4.1,26,4.7,6.9,5.6,11.3,229.7,76.1,32,181,6.2,5.0,5.4
27,Atlanta Falcons,16,302,485,62.3,3745,26,5.4,6,1.2,8.2,8.7,13.1,234.1,100.6,36,208,7.2,7.7,6.9
28,New England Patriots,16,322,596,54.0,3803,17,2.9,23,3.9,6.8,5.6,12.6,237.7,68.9,33,252,6.0,4.9,5.2
29,Cincinnati Bengals,16,319,571,55.9,3826,22,3.9,34,6.0,7.1,5.1,12.6,239.1,66.1,32,202,6.3,4.5,5.3
30,Baltimore Ravens,16,350,537,65.2,3969,27,5.0,15,2.8,7.7,7.4,11.8,248.1,93.4,30,146,7.0,6.8,5.3
,Avg Team,,306.6,532.2,57.6,3318.9,20.9,3.9,18.1,3.4,6.7,5.9,11.6,207.4,75.0,36.9,236.5,5.83,5.1,6.5
,League Total,,9198,15966,57.6,99567,626,3.9,542,3.4,6.7,5.9,11.6,207.4,75.0,1106,7094,5.83,5.1,6.5
,Avg Tm/G,,19.2,33.3,57.6,207.4,1.3,3.9,1.1,3.4,6.7,5.9,11.6,207.4,75.0,2.3,14.8,5.83,5.1,6.5
