Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Pittsburgh Steelers,16,301,533,56.5,2511,12,2.3,20,3.8,5.4,4.1,9.5,156.9,63.4,51,350,4.3,3.2,8.7,126.70
2,Baltimore Ravens,16,276,528,52.3,2875,17,3.2,26,4.9,5.9,4.4,11.3,179.7,60.6,34,257,5.1,3.6,6.0,134.59
3,Philadelphia Eagles,16,284,525,54.1,2913,19,3.6,15,2.9,6.1,5.6,11.4,182.1,72.9,48,312,5.1,4.6,8.4,98.48
4,Tampa Bay Buccaneers,16,276,475,58.1,2997,23,4.8,22,4.6,6.7,5.6,11.5,187.3,75.3,29,190,5.9,4.9,5.8,37.84
5,Dallas Cowboys,16,308,508,60.6,3003,19,3.7,8,1.6,6.6,6.7,11.0,187.7,86.2,59,374,5.3,5.3,10.4,-10.01
6,Indianapolis Colts,16,329,481,68.4,3009,6,1.2,15,3.1,6.7,5.5,9.8,188.1,78.0,30,200,5.9,4.8,5.9,-15.86
7,Washington Redskins,16,290,511,56.8,3095,16,3.1,13,2.5,6.3,5.8,11.2,193.4,75.6,24,141,5.8,5.3,4.5,-22.25
8,New York Giants,16,296,503,58.8,3139,17,3.4,17,3.4,6.8,6.0,11.6,196.2,76.7,42,288,5.8,5.0,7.7,-2.25
9,Tennessee Titans,16,342,575,59.5,3196,12,2.1,20,3.5,6.0,4.9,10.1,199.8,69.2,44,262,5.2,4.1,7.1,61.73
10,Oakland Raiders,16,266,471,56.5,3220,20,4.2,16,3.4,7.2,6.6,12.8,201.3,79.3,32,188,6.4,5.8,6.4,-49.60
11,New England Patriots,16,288,474,60.8,3222,27,5.7,14,3.0,7.3,7.1,12.0,201.4,89.8,31,239,6.4,6.2,6.1,-69.15
12,Green Bay Packers,16,287,518,55.4,3244,22,4.2,22,4.2,6.5,5.5,11.8,202.8,71.9,27,140,6.0,4.9,5.0,22.34
13,Buffalo Bills,16,301,492,61.2,3271,14,2.8,10,2.0,7.0,6.6,11.4,204.4,83.2,24,170,6.3,6.0,4.7,-20.29
14,Cleveland Browns,16,286,446,64.1,3273,19,4.3,23,5.2,7.5,6.1,11.8,204.6,79.7,17,90,7.1,5.7,3.7,-62.76
15,Cincinnati Bengals,16,315,506,62.3,3287,23,4.5,12,2.4,6.7,6.6,10.8,205.4,87.3,17,122,6.3,6.1,3.3,-48.38
16,Carolina Panthers,16,333,557,59.8,3387,19,3.4,12,2.2,6.5,6.2,10.9,211.7,81.4,37,230,5.7,5.4,6.2,0.60
17,Houston Texans,16,294,471,62.4,3423,24,5.1,12,2.5,7.6,7.5,12.2,213.9,92.3,25,175,6.9,6.8,5.0,-67.19
18,Minnesota Vikings,16,324,530,61.1,3449,15,2.8,12,2.3,7.1,6.6,11.6,215.6,82.5,45,304,6.0,5.6,7.8,-17.90
19,St. Louis Rams,16,278,444,62.6,3475,20,4.5,12,2.7,8.3,8.0,13.2,217.2,92.5,30,201,7.3,7.0,6.3,-69.64
20,San Francisco 49ers,16,331,545,60.7,3507,22,4.0,12,2.2,6.7,6.5,11.1,219.2,85.0,30,161,6.1,5.9,5.2,-46.82
21,Atlanta Falcons,16,325,549,59.2,3526,20,3.6,10,1.8,6.9,6.8,11.6,220.4,84.6,34,245,6.0,6.0,5.8,-42.40
22,Arizona Cardinals,16,323,517,62.5,3540,36,7.0,13,2.5,7.2,7.5,11.6,221.3,96.9,31,191,6.5,6.7,5.7,-77.57
23,New Orleans Saints,16,299,526,56.8,3547,21,4.0,15,2.9,7.0,6.6,12.4,221.7,80.3,28,161,6.4,5.9,5.1,-62.23
24,Jacksonville Jaguars,16,297,465,63.9,3586,25,5.4,13,2.8,8.1,7.9,12.7,224.1,95.4,29,191,7.3,7.1,5.9,-104.82
25,Miami Dolphins,16,320,551,58.1,3644,18,3.3,18,3.3,7.0,6.2,12.1,227.8,77.0,40,218,6.2,5.4,6.8,-21.41
26,Denver Broncos,16,333,495,67.3,3656,20,4.0,6,1.2,7.7,7.9,11.4,228.5,98.5,26,141,7.0,7.3,5.0,-136.58
27,Detroit Lions,16,303,443,68.4,3716,25,5.6,4,0.9,8.8,9.5,12.9,232.3,110.9,30,191,7.9,8.5,6.3,-160.80
28,Kansas City Chiefs,16,348,522,66.7,3748,21,4.0,13,2.5,7.3,7.0,10.9,234.3,91.1,10,62,7.0,6.7,1.9,-77.19
29,New York Jets,16,368,572,64.3,3752,23,4.0,14,2.4,7.0,6.7,10.9,234.5,88.1,41,253,6.1,5.8,6.7,-31.33
30,Chicago Bears,16,383,622,61.6,3859,21,3.4,22,3.5,6.6,5.6,10.6,241.2,77.2,28,217,5.9,5.1,4.3,-5.43
31,San Diego Chargers,16,411,605,67.9,3958,25,4.1,15,2.5,6.8,6.5,10.0,247.4,90.3,28,132,6.3,6.0,4.4,-72.23
32,Seattle Seahawks,16,366,566,64.7,4149,25,4.4,9,1.6,7.7,7.8,11.9,259.3,96.0,35,193,6.9,7.1,5.8,-104.51
,Avg Team,,315.0,516.4,61.0,3380.5,20.2,3.9,14.5,2.8,6.9,6.5,11.4,211.3,81.5,32.4,205.9,6.16,5.7,5.9,
,League Total,,10081,16526,61.0,108177,646,3.9,465,2.8,6.9,6.5,11.4,211.3,81.5,1036,6589,6.16,5.7,5.9,
,Avg Tm/G,,19.7,32.3,61.0,211.3,1.3,3.9,0.9,2.8,6.9,6.5,11.4,211.3,81.5,2.0,12.9,6.16,5.7,5.9,
