Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Tampa Bay Buccaneers,16,259,510,50.8,2490,10,2.0,31,6.1,5.5,3.1,10.8,155.6,48.4,43,295,4.5,2.3,7.8,234.62
2,Indianapolis Colts,16,288,468,61.5,2917,19,4.1,10,2.1,6.8,6.6,11.0,182.3,86.1,36,243,5.8,5.6,7.1,-13.89
3,Green Bay Packers,16,287,531,54.0,2987,24,4.5,24,4.5,6.1,4.9,11.2,186.7,68.7,43,241,5.2,4.2,7.5,82.12
4,Carolina Panthers,16,293,522,56.1,2993,18,3.4,17,3.3,6.4,5.6,11.4,187.1,73.4,52,336,5.2,4.5,9.1,60.45
5,Washington Redskins,16,304,531,57.3,3033,19,3.6,14,2.6,6.2,5.7,10.8,189.6,76.5,40,250,5.3,4.9,7.0,32.87
6,Buffalo Bills,16,281,495,56.8,3067,24,4.8,10,2.0,6.6,6.7,11.7,191.7,84.7,31,212,5.8,5.9,5.9,-34.99
7,Philadelphia Eagles,16,333,563,59.1,3094,18,3.2,15,2.7,6.1,5.6,10.3,193.4,76.4,56,348,5.0,4.5,9.0,90.22
8,Miami Dolphins,16,294,520,56.5,3102,20,3.8,21,4.0,6.6,5.5,11.7,193.9,72.7,47,327,5.5,4.5,8.3,35.32
9,New York Giants,16,311,541,57.5,3119,17,3.1,11,2.0,6.2,5.9,10.8,194.9,77.9,37,250,5.4,5.1,6.4,-6.91
10,Houston Texans,16,281,512,54.9,3141,23,4.5,10,2.0,6.6,6.6,12.0,196.3,82.1,35,237,5.7,5.8,6.4,-2.25
11,New England Patriots,16,314,531,59.1,3179,23,4.3,18,3.4,6.4,5.7,10.8,198.7,78.2,34,199,5.6,5.0,6.0,24.30
12,St. Louis Rams,16,292,461,63.3,3209,15,3.3,12,2.6,7.5,7.0,11.8,200.6,86.0,38,240,6.4,5.9,7.6,-14.81
13,Cincinnati Bengals,16,287,454,63.2,3262,30,6.6,9,2.0,7.5,8.0,11.9,203.9,99.9,24,153,6.8,7.2,5.0,-107.43
14,Jacksonville Jaguars,16,314,519,60.5,3264,19,3.7,14,2.7,6.7,6.2,11.1,204.0,81.5,36,224,5.9,5.4,6.5,-17.79
15,Cleveland Browns,16,299,513,58.3,3269,20,3.9,17,3.3,6.7,6.0,11.5,204.3,77.8,28,172,6.0,5.4,5.2,-34.27
16,Atlanta Falcons,16,285,514,55.4,3287,23,4.5,24,4.7,7.0,5.8,12.6,205.4,72.8,47,298,5.9,4.8,8.4,3.54
17,Denver Broncos,16,360,566,63.6,3337,15,2.7,9,1.6,6.3,6.2,10.0,208.6,83.7,40,251,5.5,5.3,6.6,-32.07
18,Seattle Seahawks,16,321,555,57.8,3411,21,3.8,19,3.4,6.5,5.7,11.2,213.2,75.6,28,185,5.9,5.1,4.8,-47.98
19,Dallas Cowboys,16,334,574,58.2,3449,22,3.8,19,3.3,6.2,5.5,10.7,215.6,75.6,24,137,5.8,5.1,4.0,-12.04
20,Pittsburgh Steelers,16,336,573,58.6,3460,19,3.3,19,3.3,6.6,5.8,11.2,216.3,75.6,50,313,5.6,4.8,8.0,-20.48
21,New York Jets,16,359,551,65.2,3490,17,3.1,15,2.7,6.7,6.1,10.3,218.1,83.2,30,195,6.0,5.4,5.2,-37.28
22,San Francisco 49ers,16,340,552,61.6,3506,23,4.2,19,3.4,6.7,6.0,10.9,219.1,80.9,32,195,6.0,5.3,5.5,-99.96
23,Oakland Raiders,16,346,570,60.7,3526,21,3.7,21,3.7,6.6,5.7,10.9,220.4,77.3,43,261,5.8,4.9,7.0,-28.79
24,Chicago Bears,16,335,547,61.2,3530,24,4.4,9,1.6,6.9,7.1,11.3,220.6,89.7,35,252,6.1,6.2,6.0,-66.66
25,Tennessee Titans,16,339,562,60.3,3540,27,4.8,18,3.2,6.7,6.2,11.1,221.3,82.8,40,213,5.9,5.4,6.6,-50.40
26,Baltimore Ravens,16,360,573,62.8,3591,16,2.8,25,4.4,6.7,5.3,10.6,224.4,73.4,33,232,5.9,4.6,5.4,-13.96
27,New Orleans Saints,16,343,593,57.8,3805,25,4.2,20,3.4,6.8,6.2,11.8,237.8,78.8,39,253,6.0,5.4,6.2,-28.96
28,Arizona Cardinals,16,335,535,62.6,3874,29,5.4,17,3.2,7.5,7.1,12.0,242.1,90.3,21,131,7.0,6.6,3.8,-109.61
29,Minnesota Vikings,16,335,542,61.8,4103,33,6.1,16,3.0,7.9,7.8,12.8,256.4,94.6,27,197,7.2,7.1,4.7,-135.76
30,Detroit Lions,16,371,591,62.8,4150,27,4.6,10,1.7,7.5,7.6,11.9,259.4,93.6,33,254,6.7,6.8,5.3,-112.98
31,Kansas City Chiefs,16,403,616,65.4,4181,27,4.4,18,2.9,7.1,6.7,10.9,261.3,88.8,34,215,6.4,6.0,5.2,-75.52
32,San Diego Chargers,16,375,607,61.8,4295,26,4.3,17,2.8,7.5,7.1,12.1,268.4,87.2,39,231,6.6,6.3,6.0,-48.88
,Avg Team,,322.3,540.4,59.6,3395.7,21.7,4.0,16.5,3.1,6.7,6.1,11.3,212.2,78.6,36.7,235.6,5.88,5.3,6.4,
,League Total,,10314,17292,59.6,108661,694,4.0,528,3.1,6.7,6.1,11.3,212.2,78.6,1175,7540,5.88,5.3,6.4,
,Avg Tm/G,,20.1,33.8,59.6,212.2,1.4,4.0,1.0,3.1,6.7,6.1,11.3,212.2,78.6,2.3,14.7,5.88,5.3,6.4,
