Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Dallas Cowboys,16,253,473,53.5,2522,20,4.2,7,1.5,5.7,5.9,10.7,157.6,78.5,38,195,4.9,5.1,7.4
2,San Francisco 49ers,16,258,509,50.7,2647,23,4.5,25,4.9,5.9,4.6,11.7,165.4,63.6,54,364,4.7,3.5,9.6
3,Washington Redskins,16,267,513,52.0,2818,14,2.7,16,3.1,6.0,5.2,11.6,176.1,66.7,37,280,5.1,4.3,6.7
4,Indianapolis Colts,16,261,453,57.6,2820,26,5.7,12,2.6,6.8,6.7,11.8,176.3,86.4,37,247,5.8,5.7,7.6
5,Denver Broncos,16,290,526,55.1,2868,20,3.8,18,3.4,6.0,5.2,10.9,179.3,71.5,44,298,5.0,4.3,7.7
6,New Orleans Saints,16,293,518,56.6,2881,21,4.1,16,3.1,6.3,5.8,11.2,180.1,76.3,59,408,5.0,4.5,10.2
7,Philadelphia Eagles,16,259,490,52.9,2923,20,4.1,14,2.9,6.5,6.1,12.4,182.7,75.1,43,278,5.5,5.1,8.1
8,Green Bay Packers,16,288,563,51.2,2951,10,1.8,21,3.7,5.7,4.4,11.2,184.4,59.0,41,274,4.9,3.7,6.8
9,Carolina Panthers,16,260,490,53.1,3007,17,3.5,11,2.2,6.6,6.3,12.5,187.9,76.2,36,246,5.7,5.4,6.8
10,Tampa Bay Buccaneers,16,325,518,62.7,3011,13,2.5,13,2.5,6.5,5.8,10.3,188.2,79.2,44,331,5.4,4.8,7.8
11,Chicago Bears,16,273,476,57.4,3030,25,5.3,13,2.7,6.9,6.7,12.0,189.4,84.8,38,259,5.9,5.7,7.4
12,Buffalo Bills,16,287,502,57.2,3061,17,3.4,15,3.0,6.8,6.1,11.9,191.3,76.8,46,344,5.6,5.0,8.4
13,Detroit Lions,16,281,507,55.4,3114,15,3.0,17,3.4,6.7,5.8,12.1,194.6,72.1,43,287,5.7,4.8,7.8
14,Seattle Seahawks,16,276,462,59.7,3118,19,4.1,13,2.8,7.3,6.8,12.2,194.9,84.1,42,238,6.2,5.8,8.3
15,Arizona Cardinals,16,279,491,56.8,3246,23,4.7,15,3.1,7.0,6.6,12.4,202.9,81.7,34,215,6.2,5.8,6.5
16,Kansas City Chiefs,16,271,507,53.5,3259,15,3.0,21,4.1,7.1,5.9,13.4,203.7,69.0,54,359,5.8,4.7,9.6
17,St. Louis Rams,16,288,543,53.0,3379,26,4.8,25,4.6,6.8,5.7,12.8,211.2,71.3,38,296,5.8,4.8,6.5
18,Pittsburgh Steelers,16,295,554,53.2,3387,24,4.3,20,3.6,6.6,5.9,12.5,211.7,73.5,48,294,5.6,4.9,8.0
19,New York Jets,16,304,558,54.5,3421,23,4.1,18,3.2,6.6,5.9,12.0,213.8,75.1,29,242,5.8,5.2,4.9
20,Atlanta Falcons,16,275,496,55.4,3440,24,4.8,18,3.6,7.6,7.0,13.8,215.0,81.2,55,354,6.2,5.6,10.0
21,Cincinnati Bengals,16,309,542,57.0,3459,30,5.5,13,2.4,6.8,6.8,11.9,216.2,86.2,35,209,6.0,6.0,6.1
22,San Diego Chargers,16,297,568,52.3,3468,31,5.5,15,2.6,6.4,6.3,12.2,216.8,79.5,27,164,5.8,5.7,4.5
23,New England Patriots,16,368,619,59.5,3469,14,2.3,19,3.1,6.1,5.2,10.3,216.8,71.8,45,303,5.2,4.4,6.8
24,Jacksonville Jaguars,16,320,532,60.2,3504,24,4.5,14,2.6,7.2,6.9,12.0,219.0,86.3,48,331,6.0,5.8,8.3
25,Miami Dolphins,16,329,530,62.1,3551,23,4.3,10,1.9,7.1,7.2,11.5,221.9,90.1,31,231,6.3,6.3,5.5
26,New York Giants,16,325,596,54.5,3616,10,1.7,27,4.5,6.6,4.9,12.2,226.0,61.9,54,341,5.6,4.0,8.3
27,Tennessee Oilers,16,321,543,59.1,3658,21,3.9,14,2.6,7.2,6.8,12.1,228.6,83.4,35,240,6.3,6.0,6.1
28,Baltimore Ravens,16,332,556,59.7,3673,20,3.6,17,3.1,7.1,6.5,11.9,229.6,80.8,42,293,6.1,5.5,7.0
29,Minnesota Vikings,16,336,542,62.0,3704,28,5.2,12,2.2,7.3,7.3,11.8,231.5,92.2,44,253,6.3,6.4,7.5
30,Oakland Raiders,16,324,552,58.7,3870,21,3.8,10,1.8,7.4,7.4,12.7,241.9,87.1,31,239,6.6,6.6,5.3
,Avg Team,,294.8,524.3,56.2,3229.2,20.6,3.9,16.0,3.0,6.7,6.1,11.9,201.8,75.0,41.7,280.4,5.70,5.2,7.4
,League Total,,8844,15729,56.2,96875,617,3.9,479,3.0,6.7,6.1,11.9,201.8,75.0,1252,8413,5.70,5.2,7.4
,Avg Tm/G,,18.4,32.8,56.2,201.8,1.3,3.9,1.0,3.0,6.7,6.1,11.9,201.8,75.0,2.6,17.5,5.70,5.2,7.4
