Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Denver Broncos,16,344,573,60.0,3193,19,3.3,14,2.4,6.2,5.7,10.3,199.6,78.8,52,351,5.1,4.7,8.3,59.89
2,Seattle Seahawks,16,333,548,60.8,3364,14,2.6,14,2.6,6.6,6.0,10.9,210.3,78.1,37,255,5.8,5.2,6.3,-8.69
3,Houston Texans,16,326,553,59.0,3366,24,4.3,14,2.5,6.6,6.4,11.3,210.4,82.8,45,311,5.6,5.4,7.5,7.39
4,Chicago Bears,16,322,513,62.8,3593,31,6.0,8,1.6,7.5,8.0,11.9,224.6,99.1,35,237,6.6,7.0,6.4,-101.61
5,Dallas Cowboys,16,330,506,65.2,3636,19,3.8,8,1.6,7.6,7.7,11.7,227.3,94.2,31,229,6.8,6.8,5.8,-86.00
6,Green Bay Packers,16,321,551,58.3,3642,20,3.6,16,2.9,7.1,6.5,12.1,227.6,80.1,43,256,6.1,5.6,7.2,-14.34
7,Tennessee Titans,16,319,503,63.4,3678,34,6.8,11,2.2,7.9,8.2,12.4,229.9,101.1,39,271,6.8,7.1,7.2,-105.21
8,Arizona Cardinals,16,343,573,59.9,3687,24,4.2,19,3.3,6.9,6.3,11.5,230.4,80.9,36,270,6.1,5.4,5.9,-27.62
9,Kansas City Chiefs,16,349,607,57.5,3698,25,4.1,22,3.6,6.6,5.8,11.4,231.1,76.0,47,290,5.7,4.9,7.2,27.86
10,Baltimore Ravens,16,350,545,64.2,3737,30,5.5,6,1.1,7.3,7.9,11.3,233.6,99.6,37,220,6.4,7.0,6.4,-132.61
11,Carolina Panthers,16,390,650,60.0,3752,21,3.2,24,3.7,6.2,5.2,10.4,234.5,73.5,44,302,5.4,4.5,6.3,63.56
12,Minnesota Vikings,16,359,561,64.0,3762,24,4.3,13,2.3,7.2,7.0,11.3,235.1,90.1,43,283,6.2,6.1,7.1,-35.54
13,New York Jets,16,343,601,57.1,3763,25,4.2,18,3.0,6.7,6.2,11.8,235.2,79.0,39,278,5.9,5.4,6.1,-23.17
14,San Diego Chargers,16,328,510,64.3,3786,22,4.3,11,2.2,7.9,7.8,12.2,236.6,93.8,32,222,7.0,6.9,5.9,-84.42
15,Detroit Lions,16,360,528,68.2,3789,27,5.1,9,1.7,7.7,8.0,11.3,236.8,100.9,43,279,6.6,6.9,7.5,-109.01
16,Tampa Bay Buccaneers,16,378,541,69.9,3840,31,5.7,11,2.0,7.5,7.8,10.8,240.0,102.3,38,232,6.6,6.8,6.6,-134.46
17,New England Patriots,16,361,596,60.6,3852,24,4.0,12,2.0,7.1,7.0,11.7,240.8,87.0,49,358,6.0,5.9,7.6,-43.77
18,Atlanta Falcons,16,370,561,66.0,3882,19,3.4,15,2.7,7.1,6.6,10.8,242.6,86.9,19,117,6.7,6.2,3.3,-87.55
19,Buffalo Bills,16,347,602,57.6,3972,30,5.0,17,2.8,6.8,6.5,11.8,248.3,83.3,21,125,6.4,6.1,3.4,-54.15
20,Cincinnati Bengals,16,415,646,64.2,3976,18,2.8,21,3.3,6.6,5.7,10.3,248.5,78.9,42,288,5.8,4.9,6.1,-15.92
21,Miami Dolphins,16,350,542,64.6,4000,31,5.7,13,2.4,7.8,7.9,12.1,250.0,97.4,31,225,7.0,7.0,5.4,-129.92
22,Cleveland Browns,16,322,511,63.0,4012,34,6.7,11,2.2,8.2,8.5,12.9,250.8,101.8,29,157,7.4,7.8,5.4,-128.02
23,St. Louis Rams,16,399,597,66.8,4065,21,3.5,13,2.2,7.2,6.9,10.8,254.1,90.4,41,236,6.4,6.1,6.4,-38.11
24,Indianapolis Colts,16,354,585,60.5,4114,29,5.0,17,2.9,7.5,7.1,12.3,257.1,88.0,35,251,6.6,6.3,5.6,-97.34
25,Washington Redskins,16,354,566,62.5,4128,30,5.3,11,1.9,7.8,7.9,12.4,258.0,96.1,38,264,6.8,7.0,6.3,-100.12
26,Oakland Raiders,16,404,641,63.0,4140,25,3.9,14,2.2,6.8,6.6,10.8,258.8,86.8,38,211,6.1,5.9,5.6,-70.87
27,San Francisco 49ers,16,375,549,68.3,4179,21,3.8,9,1.6,8.0,8.0,11.7,261.2,98.1,28,196,7.2,7.3,4.9,-145.66
28,Philadelphia Eagles,16,394,633,62.2,4273,36,5.7,15,2.4,7.1,7.2,11.5,267.1,92.8,37,243,6.4,6.4,5.5,-75.96
29,Jacksonville Jaguars,16,390,602,64.8,4291,29,4.8,9,1.5,7.5,7.8,11.6,268.2,97.2,36,237,6.7,7.0,5.6,-134.59
30,Pittsburgh Steelers,16,402,625,64.3,4350,29,4.6,17,2.7,7.5,7.2,11.6,271.9,90.9,48,311,6.5,6.2,7.1,-56.26
31,New Orleans Saints,16,372,544,68.4,4544,45,8.3,9,1.7,8.7,9.7,12.8,284.0,116.2,31,211,7.9,8.8,5.4,-234.98
32,New York Giants,16,423,638,66.3,4783,31,4.9,15,2.4,7.7,7.6,11.6,298.9,95.9,23,137,7.2,7.2,3.5,-115.93
,Avg Team,,360.2,571.8,63.0,3901.2,26.3,4.6,13.6,2.4,7.3,7.1,11.5,243.8,88.4,37.1,245.3,6.41,6.3,6.1,
,League Total,,11527,18298,63.0,124839,842,4.6,436,2.4,7.3,7.1,11.5,243.8,88.4,1187,7850,6.41,6.3,6.1,
,Avg Tm/G,,22.5,35.7,63.0,243.8,1.6,4.6,0.9,2.4,7.3,7.1,11.5,243.8,88.4,2.3,15.3,6.41,6.3,6.1,
