Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,New Orleans Saints,16,239,422,56.6,2453,23,5.5,13,3.1,6.8,6.5,12.0,153.3,83.0,55,420,5.1,4.9,11.5
2,Chicago Bears,16,198,435,45.5,2486,14,3.2,21,4.8,7.1,5.5,15.5,155.4,60.0,72,583,4.9,3.6,14.2
3,Cleveland Browns,16,261,458,57.0,2696,15,3.3,20,4.4,6.7,5.3,11.7,168.5,70.0,43,353,5.4,4.2,8.6
4,Los Angeles Raiders,16,254,508,50.0,2752,19,3.7,20,3.9,6.4,5.4,12.9,172.0,66.6,64,516,4.8,3.9,11.2
5,Dallas Cowboys,16,250,527,47.4,2810,23,4.4,28,5.3,6.1,4.6,12.8,175.6,59.3,57,390,4.8,3.4,9.8
6,Philadelphia Eagles,16,262,492,53.3,3050,22,4.5,20,4.1,7.1,6.2,13.4,190.6,74.1,60,456,5.5,4.7,10.9
7,Atlanta Falcons,16,262,443,59.1,3126,27,6.1,12,2.7,7.7,7.7,13.0,195.4,92.5,38,287,6.5,6.5,7.9
8,Green Bay Packers,16,315,551,57.2,3146,16,2.9,27,4.9,6.3,4.7,11.0,196.6,65.2,44,324,5.3,3.8,7.4
9,St. Louis Cardinals,16,251,494,50.8,3171,26,5.3,21,4.3,7.2,6.4,14.2,198.2,74.4,55,403,5.8,5.0,10.0
10,Seattle Seahawks,16,265,521,50.9,3174,18,3.5,38,7.3,6.9,4.3,13.5,198.4,54.2,55,398,5.5,3.2,9.5
11,Houston Oilers,16,271,447,60.6,3179,23,5.1,13,2.9,7.7,7.4,12.7,198.7,89.8,32,267,6.6,6.4,6.7
12,New England Patriots,16,283,513,55.2,3214,25,4.9,17,3.3,7.1,6.6,13.0,200.9,80.3,55,452,5.7,5.2,9.7
13,Tampa Bay Buccaneers,16,286,490,58.4,3241,20,4.1,18,3.7,7.1,6.3,12.2,202.6,78.6,32,239,6.2,5.4,6.1
14,Miami Dolphins,16,310,551,56.3,3265,22,4.0,24,4.4,6.5,5.4,11.6,204.1,71.4,42,339,5.5,4.4,7.1
15,Pittsburgh Steelers,16,299,515,58.1,3299,19,3.7,31,6.0,7.2,5.2,12.3,206.2,67.5,47,390,5.9,4.1,8.4
16,New York Giants,16,288,529,54.4,3375,20,3.8,19,3.6,7.1,6.2,13.0,210.9,74.5,48,361,5.8,5.1,8.3
17,San Francisco 49ers,16,298,546,54.6,3381,14,2.6,25,4.6,6.9,5.3,12.6,211.3,65.6,51,363,5.7,4.2,8.5
18,Cincinnati Bengals,16,302,517,58.4,3391,15,2.9,25,4.8,7.1,5.5,12.2,211.9,70.0,40,298,6.1,4.6,7.2
19,Buffalo Bills,16,300,495,60.6,3476,32,6.5,16,3.2,7.4,7.2,12.2,217.3,91.5,26,191,6.7,6.5,5.0
20,New York Jets,16,312,511,61.1,3502,24,4.7,15,2.9,7.6,7.2,12.4,218.9,87.9,44,360,6.3,6.0,7.9
21,Detroit Lions,16,288,466,61.8,3511,27,5.8,14,3.0,8.1,7.9,13.1,219.4,94.2,37,271,7.0,6.8,7.4
22,Indianapolis Colts,16,298,515,57.9,3570,31,6.0,18,3.5,7.6,7.2,13.1,223.1,87.3,42,320,6.4,6.1,7.5
23,Kansas City Chiefs,16,332,586,56.7,3645,19,3.2,30,5.1,6.8,5.2,12.1,227.8,67.3,50,364,5.7,4.2,7.9
24,Los Angeles Rams,16,346,566,61.1,3666,18,3.2,17,3.0,7.0,6.3,11.5,229.1,80.3,43,298,6.0,5.4,7.1
25,Washington Redskins,16,318,575,55.3,3772,25,4.3,21,3.7,7.5,6.7,13.5,235.8,78.6,66,529,5.9,5.2,10.3
26,Minnesota Vikings,16,319,490,65.1,3779,35,7.1,11,2.2,8.1,8.5,12.4,236.2,104.4,25,175,7.3,7.7,4.9
27,Denver Broncos,16,346,631,54.8,4023,16,2.5,31,4.9,7.1,5.4,12.9,251.4,65.2,57,430,5.8,4.3,8.3
28,San Diego Chargers,16,323,531,60.8,4085,27,5.1,19,3.6,8.1,7.5,13.3,255.3,88.6,33,218,7.2,6.7,5.9
,Avg Team,,288.4,511.6,56.4,3294.2,22.0,4.3,20.9,4.1,7.1,6.2,12.7,205.9,73.2,46.9,357.0,5.90,5.0,8.4
,League Total,,8076,14325,56.4,92238,615,4.3,584,4.1,7.1,6.2,12.7,205.9,73.2,1313,9995,5.90,5.0,8.4
,Avg Tm/G,,18.0,32.0,56.4,205.9,1.4,4.3,1.3,4.1,7.1,6.2,12.7,205.9,73.2,2.9,22.3,5.90,5.0,8.4
