Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%,EXP
1,Denver Broncos,16,306,552,55.4,2972,13,2.4,14,2.5,5.8,5.1,10.5,185.8,69.7,42,228,5.0,4.4,7.1,79.69
2,Houston Texans,16,319,522,61.1,3226,20,3.8,11,2.1,6.6,6.4,10.7,201.6,84.3,31,198,5.8,5.7,5.6,-25.95
3,Minnesota Vikings,16,332,548,60.6,3327,22,4.0,14,2.6,6.6,6.3,11.0,207.9,83.0,41,310,5.6,5.3,7.0,-22.74
4,Arizona Cardinals,16,344,547,62.9,3365,21,3.8,14,2.6,6.8,6.5,10.9,210.3,85.1,48,374,5.7,5.3,8.1,-10.97
5,Jacksonville Jaguars,16,345,551,62.6,3444,20,3.6,7,1.3,6.6,6.7,10.5,215.3,88.5,33,183,5.9,6.0,5.7,-42.82
6,Buffalo Bills,16,306,511,59.9,3582,19,3.7,12,2.3,7.5,7.2,12.5,223.9,85.9,39,253,6.5,6.2,7.1,-68.73
7,Chicago Bears,16,342,530,64.5,3598,22,4.2,8,1.5,7.2,7.4,11.2,224.9,93.5,37,230,6.3,6.5,6.5,-114.88
8,Seattle Seahawks,16,331,537,61.6,3612,16,3.0,11,2.0,7.2,6.9,11.7,225.8,85.0,42,272,6.2,5.9,7.3,-80.11
9,Baltimore Ravens,16,369,578,63.8,3724,28,4.8,18,3.1,6.8,6.4,10.7,232.8,86.9,31,223,6.1,5.7,5.1,-66.07
10,Los Angeles Rams,16,378,582,64.9,3732,32,5.5,10,1.7,6.7,7.1,10.4,233.3,95.5,31,196,6.1,6.4,5.1,-81.75
11,Cincinnati Bengals,16,374,593,63.1,3800,22,3.7,17,2.9,6.7,6.2,10.7,237.5,83.1,33,185,6.1,5.6,5.3,-67.84
12,New England Patriots,16,368,596,61.7,3806,21,3.5,13,2.2,6.8,6.5,11.0,237.9,84.4,34,227,6.0,5.8,5.4,-16.62
13,Philadelphia Eagles,16,333,553,60.2,3832,25,4.5,16,2.9,7.3,6.9,12.1,239.5,85.7,34,207,6.5,6.2,5.8,-31.54
14,San Francisco 49ers,16,322,521,61.8,3848,30,5.8,10,1.9,7.7,8.0,12.5,240.5,96.9,33,165,6.9,7.2,6.0,-127.42
15,Miami Dolphins,16,368,591,62.3,3875,30,5.1,16,2.7,6.9,6.7,11.1,242.2,88.5,33,226,6.2,6.0,5.3,-63.98
16,Pittsburgh Steelers,16,381,590,64.6,3882,20,3.4,13,2.2,7.0,6.7,10.9,242.6,87.3,38,259,6.2,5.9,6.1,-95.12
17,New York Jets,16,347,545,63.7,3898,30,5.5,8,1.5,7.5,7.9,11.7,243.6,98.5,27,179,6.8,7.2,4.7,-138.14
18,Kansas City Chiefs,16,350,598,58.5,3958,23,3.8,18,3.0,6.9,6.3,11.8,247.4,79.8,28,162,6.3,5.8,4.5,-29.04
19,Detroit Lions,16,399,549,72.7,3975,33,6.0,10,1.8,7.5,7.9,10.4,248.4,106.5,26,161,6.9,7.3,4.5,-181.37
20,San Diego Chargers,16,364,580,62.8,3987,21,3.6,18,3.1,7.3,6.6,11.6,249.2,83.8,35,230,6.5,5.8,5.7,-55.61
21,Cleveland Browns,16,347,543,63.9,3996,36,6.6,10,1.8,7.7,8.2,12.0,249.8,101.8,26,177,7.0,7.5,4.6,-174.69
22,Tampa Bay Buccaneers,16,347,548,63.3,4012,24,4.4,17,3.1,7.7,7.2,12.2,250.8,88.8,38,234,6.8,6.4,6.5,-41.26
