Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,New Orleans Saints,16,259,444,58.3,2606,22,5.0,10,2.3,6.6,6.6,11.3,162.9,85.3,51,318,5.3,5.2,10.3
2,Cincinnati Bengals,16,251,457,54.9,2798,20,4.4,12,2.6,6.5,6.2,11.8,174.9,78.4,22,154,5.8,5.5,4.6
3,Chicago Bears,16,306,504,60.7,2818,12,2.4,18,3.6,6.2,5.0,10.1,176.1,71.4,46,287,5.1,4.1,8.4
4,New England Patriots,16,280,474,59.1,2845,20,4.2,13,2.7,6.5,6.1,11.0,177.8,81.1,34,242,5.6,5.2,6.7
5,Los Angeles Raiders,16,258,457,56.5,2858,17,3.7,14,3.1,6.9,6.2,12.2,178.6,77.4,45,283,5.7,5.1,9.0
6,Minnesota Vikings,16,310,478,64.9,2870,11,2.3,24,5.0,6.6,4.8,10.1,179.4,70.3,45,276,5.5,3.8,8.6
7,Green Bay Packers,16,290,529,54.8,2900,16,3.0,18,3.4,6.1,5.1,11.0,181.3,68.9,46,301,5.0,4.2,8.0
8,Philadelphia Eagles,16,251,463,54.2,2939,22,4.8,20,4.3,6.8,5.8,12.6,183.7,73.5,36,214,5.9,5.0,7.2
9,Detroit Lions,16,309,514,60.1,3020,19,3.7,19,3.7,6.4,5.4,10.6,188.8,75.6,43,253,5.4,4.6,7.7
10,Dallas Cowboys,16,334,555,60.2,3116,14,2.5,14,2.5,6.0,5.4,10.0,194.8,75.3,34,231,5.3,4.7,5.8
11,New York Giants,16,298,514,58.0,3116,13,2.5,18,3.5,6.5,5.5,11.3,194.8,71.4,41,238,5.6,4.6,7.4
12,Indianapolis Colts,16,270,454,59.5,3117,22,4.8,10,2.2,7.1,7.1,12.0,194.8,88.3,21,121,6.6,6.5,4.4
13,Cleveland Browns,16,306,541,56.6,3124,19,3.5,13,2.4,6.4,6.0,11.3,195.3,77.6,48,342,5.3,5.0,8.1
14,Kansas City Chiefs,16,312,525,59.4,3151,18,3.4,21,4.0,6.4,5.3,10.8,196.9,73.2,35,228,5.6,4.6,6.3
15,Pittsburgh Steelers,16,277,521,53.2,3163,16,3.1,24,4.6,6.6,5.1,12.4,197.7,64.9,42,277,5.6,4.3,7.5
16,San Francisco 49ers,16,314,564,55.7,3197,23,4.1,19,3.4,6.2,5.5,11.2,199.8,74.0,44,316,5.3,4.6,7.2
17,New York Jets,16,296,497,59.6,3239,15,3.0,19,3.8,6.9,5.8,11.6,202.4,74.6,32,195,6.1,5.1,6.0
18,Tampa Bay Buccaneers,16,300,503,59.6,3252,22,4.4,9,1.8,6.7,6.8,11.3,203.3,86.9,29,132,6.1,6.2,5.5
19,Phoenix Cardinals,16,281,495,56.8,3306,14,2.8,9,1.8,7.1,6.8,12.5,206.6,80.8,34,205,6.2,6.0,6.4
20,Washington Redskins,16,291,483,60.2,3387,24,5.0,17,3.5,7.4,6.8,12.3,211.7,85.1,31,197,6.6,6.0,6.0
21,Miami Dolphins,16,350,572,61.2,3485,26,4.5,13,2.3,6.4,6.3,10.5,217.8,85.6,29,197,5.8,5.7,4.8
22,Los Angeles Rams,16,299,488,61.3,3560,17,3.5,11,2.3,7.7,7.4,12.6,222.5,87.5,35,203,6.8,6.5,6.7
23,Houston Oilers,16,302,582,51.9,3601,16,2.7,26,4.5,6.7,5.3,13.0,225.1,63.9,52,313,5.7,4.3,8.2
24,Buffalo Bills,16,323,582,55.5,3633,18,3.1,23,4.0,6.7,5.5,12.0,227.1,70.0,37,256,5.9,4.8,6.0
25,Atlanta Falcons,16,308,505,61.0,3637,27,5.3,13,2.6,7.5,7.4,12.3,227.3,91.2,27,149,6.8,6.8,5.1
26,Seattle Seahawks,16,333,595,56.0,3653,16,2.7,22,3.7,6.5,5.4,11.7,228.3,69.6,38,244,5.8,4.7,6.0
27,Denver Broncos,16,314,562,55.9,3731,21,3.7,18,3.2,7.1,6.4,12.6,233.2,77.2,46,238,6.1,5.5,7.6
28,San Diego Chargers,16,329,556,59.2,3752,17,3.1,22,4.0,7.1,5.9,12.0,234.5,74.8,32,206,6.4,5.3,5.4
,Avg Team,,298.3,514.8,57.9,3209.8,18.5,3.6,16.8,3.3,6.7,5.9,11.6,200.6,74.7,37.7,236.3,5.81,5.1,6.8
,League Total,,8351,14414,57.9,89874,517,3.6,469,3.3,6.7,5.9,11.6,200.6,74.7,1055,6616,5.81,5.1,6.8
,Avg Tm/G,,18.6,32.2,57.9,200.6,1.2,3.6,1.0,3.3,6.7,5.9,11.6,200.6,74.7,2.4,14.8,5.81,5.1,6.8
