Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Dallas Cowboys,16,269,522,51.5,2752,19,3.6,22,4.2,5.8,4.7,11.3,172.0,64.0,47,299,4.8,3.8,8.3
2,Houston Oilers,16,221,400,55.3,2795,18,4.5,14,3.5,7.4,6.7,13.4,174.7,79.4,31,168,6.5,5.9,7.2
3,Pittsburgh Steelers,16,280,532,52.6,2874,12,2.3,17,3.2,6.1,5.1,11.6,179.6,65.6,55,382,4.9,4.0,9.4
4,Arizona Cardinals,16,234,465,50.3,3038,19,4.1,23,4.9,7.1,5.7,14.1,189.9,66.7,35,272,6.1,4.8,7.0
5,Chicago Bears,16,295,522,56.5,3087,16,3.1,12,2.3,6.2,5.8,11.1,192.9,75.9,28,175,5.6,5.2,5.1
6,Philadelphia Eagles,16,251,490,51.2,3094,20,4.1,21,4.3,6.9,5.7,13.4,193.4,69.1,42,265,5.8,4.8,7.9
7,Cleveland Browns,16,325,587,55.4,3157,13,2.2,18,3.1,5.8,4.9,10.5,197.3,67.1,38,268,5.1,4.2,6.1
8,New York Giants,16,289,500,57.8,3222,16,3.2,16,3.2,6.8,6.0,11.7,201.4,75.8,26,169,6.1,5.4,4.9
9,Cincinnati Bengals,16,294,505,58.2,3248,22,4.4,10,2.0,6.8,6.8,11.8,203.0,85.4,31,210,6.1,6.0,5.8
10,Kansas City Chiefs,16,300,504,59.5,3266,23,4.6,12,2.4,6.9,6.8,11.7,204.1,85.9,39,234,6.0,5.9,7.2
11,Tampa Bay Buccaneers,16,303,498,60.8,3372,25,5.0,9,1.8,7.0,7.2,11.5,210.8,91.2,20,114,6.5,6.7,3.9
12,Los Angeles Rams,16,320,541,59.1,3389,23,4.3,14,2.6,6.6,6.2,11.1,211.8,82.1,26,159,6.0,5.7,4.6
13,Seattle Seahawks,16,313,537,58.3,3397,15,2.8,19,3.5,6.7,5.7,11.5,212.3,73.2,29,206,6.0,5.0,5.1
14,Los Angeles Raiders,16,306,564,54.3,3400,24,4.3,12,2.1,6.5,6.4,12.0,212.5,79.8,38,284,5.6,5.5,6.3
15,Green Bay Packers,16,337,605,55.7,3401,20,3.3,21,3.5,6.1,5.2,10.9,212.6,70.4,37,276,5.3,4.4,5.8
16,New England Patriots,16,298,545,54.7,3447,21,3.9,22,4.0,6.9,5.8,12.5,215.4,72.2,39,290,5.9,4.9,6.7
17,San Francisco 49ers,16,329,583,56.4,3501,15,2.6,23,3.9,6.4,5.2,11.4,218.8,68.1,38,255,5.6,4.5,6.1
18,New York Jets,16,333,522,63.8,3529,19,3.6,17,3.3,7.1,6.4,11.2,220.6,83.6,29,201,6.4,5.7,5.3
19,Detroit Lions,16,370,547,67.6,3546,21,3.8,12,2.2,6.8,6.6,10.1,221.6,90.6,28,199,6.2,6.0,4.9
20,Washington Redskins,16,300,496,60.5,3634,22,4.4,17,3.4,7.7,7.0,12.7,227.1,84.9,28,165,6.9,6.3,5.3
21,Minnesota Vikings,16,368,597,61.6,3652,25,4.2,18,3.0,6.5,6.0,10.6,228.3,82.1,36,250,5.8,5.3,5.7
22,San Diego Chargers,16,363,577,62.9,3658,20,3.5,17,2.9,6.8,6.1,10.8,228.6,82.0,43,253,5.9,5.3,6.9
23,Buffalo Bills,16,314,535,58.7,3660,26,4.9,16,3.0,7.1,6.8,12.1,228.8,84.4,25,152,6.5,6.2,4.5
24,Indianapolis Colts,16,354,598,59.2,3679,24,4.0,18,3.0,6.5,6.0,11.0,229.9,79.4,29,218,5.9,5.3,4.6
25,Miami Dolphins,16,334,577,57.9,3794,23,4.0,23,4.0,6.9,5.9,11.8,237.1,75.6,29,160,6.3,5.3,4.8
26,New Orleans Saints,16,353,559,63.1,3811,28,5.0,17,3.0,7.2,6.8,11.4,238.2,88.6,36,196,6.4,6.1,6.1
27,Atlanta Falcons,16,364,580,62.8,4136,26,4.5,22,3.8,7.5,6.7,12.0,258.5,84.9,32,229,6.8,6.0,5.2
28,Denver Broncos,16,322,568,56.7,4155,28,4.9,12,2.1,7.6,7.6,13.3,259.7,88.5,23,141,7.0,7.1,3.9
,Avg Team,,312.1,537.7,58.0,3417.6,20.8,3.9,16.9,3.1,6.8,6.1,11.7,213.6,76.7,33.5,221.1,5.98,5.4,5.9
,League Total,,8739,15056,58.0,95694,583,3.9,474,3.1,6.8,6.1,11.7,213.6,76.7,937,6190,5.98,5.4,5.9
,Avg Tm/G,,19.5,33.6,58.0,213.6,1.3,3.9,1.1,3.1,6.8,6.1,11.7,213.6,76.7,2.1,13.8,5.98,5.4,5.9
