Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Kansas City Chiefs,16,214,410,52.2,2434,12,2.9,18,4.4,6.3,4.9,12.1,152.1,63.4,23,157,5.6,4.3,5.3
2,Minnesota Vikings,16,219,480,45.6,2489,12,2.5,36,7.5,5.8,2.9,12.6,155.6,41.2,37,274,4.8,2.1,7.2
3,New England Patriots,16,234,436,53.7,2582,13,3.0,20,4.6,6.4,5.0,12.0,161.4,64.4,29,219,5.6,4.2,6.2
4,Buffalo Bills,16,250,448,55.8,2724,14,3.1,15,3.3,6.8,5.9,12.2,170.3,73.4,46,322,5.5,4.7,9.3
5,Green Bay Packers,16,256,474,54.0,2733,12,2.5,20,4.2,6.2,4.8,11.5,170.8,63.9,30,216,5.4,4.1,6.0
6,Cleveland Browns,16,245,474,51.7,2847,13,2.7,20,4.2,6.5,5.2,12.7,177.9,64.0,37,255,5.6,4.3,7.2
7,Denver Broncos,16,262,467,56.1,2933,18,3.9,16,3.4,6.8,6.0,12.1,183.3,75.7,36,235,5.8,5.1,7.2
8,San Francisco 49ers,16,292,530,55.1,2987,25,4.7,22,4.2,6.2,5.3,11.2,186.7,72.2,42,297,5.2,4.4,7.3
9,Chicago Bears,16,245,545,45.0,3034,18,3.3,26,4.8,6.2,4.8,13.9,189.6,56.7,43,365,5.2,3.8,7.3
10,Cincinnati Bengals,16,283,524,54.0,3134,19,3.6,22,4.2,6.7,5.5,12.4,195.9,69.6,42,374,5.5,4.5,7.4
11,Los Angeles Raiders,16,265,483,54.9,3171,23,4.8,17,3.5,7.2,6.6,13.1,198.2,79.0,40,300,6.1,5.5,7.6
12,Phoenix Cardinals,16,264,508,52.0,3244,30,5.9,16,3.1,7.0,6.7,13.4,202.8,81.0,39,295,5.9,5.7,7.1
13,Houston Oilers,16,281,512,54.9,3266,22,4.3,22,4.3,7.1,6.0,12.9,204.1,73.7,42,353,5.9,4.9,7.6
14,Miami Dolphins,16,298,491,60.7,3275,19,3.9,16,3.3,7.0,6.3,11.6,204.7,81.2,24,167,6.4,5.7,4.7
15,Detroit Lions,16,337,513,65.7,3279,17,3.3,15,2.9,7.2,6.5,10.9,204.9,85.5,47,393,5.9,5.3,8.4
16,San Diego Chargers,16,274,517,53.0,3285,22,4.3,16,3.1,6.8,6.3,12.9,205.3,75.9,34,240,6.0,5.5,6.2
17,Los Angeles Rams,16,307,571,53.8,3300,17,3.0,22,3.9,6.5,5.3,12.0,206.3,67.7,56,394,5.3,4.2,8.9
18,New York Giants,16,294,566,51.9,3327,23,4.1,15,2.7,6.6,6.3,12.8,207.9,75.5,52,428,5.4,5.0,8.4
19,New Orleans Saints,16,277,505,54.9,3327,19,3.8,17,3.4,7.1,6.3,12.9,207.9,75.8,31,252,6.2,5.5,5.8
20,Seattle Seahawks,16,280,501,55.9,3353,21,4.2,22,4.4,7.2,6.1,12.9,209.6,74.4,30,265,6.3,5.2,5.6
21,Atlanta Falcons,16,281,504,55.8,3373,17,3.4,24,4.8,7.1,5.6,12.8,210.8,69.6,30,211,6.3,4.9,5.6
22,Washington Redskins,16,261,497,52.5,3439,24,4.8,14,2.8,7.5,7.2,14.3,214.9,81.6,43,305,6.4,6.1,8.0
23,New York Jets,16,244,476,51.3,3509,28,5.9,24,5.0,8.0,6.9,15.7,219.3,76.9,45,314,6.7,5.7,8.6
24,Dallas Cowboys,16,264,523,50.5,3556,30,5.7,10,1.9,7.4,7.7,14.7,222.3,86.2,46,327,6.2,6.5,8.1
25,Indianapolis Colts,16,321,539,59.6,3602,21,3.9,15,2.8,7.1,6.6,11.8,225.1,82.5,30,201,6.3,5.9,5.3
26,Tampa Bay Buccaneers,16,304,527,57.7,3604,19,3.6,21,4.0,7.1,6.0,12.3,225.3,75.2,20,140,6.6,5.6,3.7
27,Pittsburgh Steelers,16,309,532,58.1,3941,25,4.7,20,3.8,7.7,6.9,13.2,246.3,82.5,19,145,7.2,6.4,3.4
28,Philadelphia Eagles,16,309,578,53.5,4147,23,4.0,32,5.5,7.7,6.0,14.4,259.2,68.9,42,296,6.7,5.1,6.8
,Avg Team,,273.9,504.7,54.3,3210.5,19.9,3.9,19.8,3.9,6.9,5.9,12.7,200.7,70.6,37.0,276.4,5.93,5.0,6.8
,League Total,,7670,14131,54.3,89895,556,3.9,553,3.9,6.9,5.9,12.7,200.7,70.6,1035,7740,5.93,5.0,6.8
,Avg Tm/G,,17.1,31.5,54.3,200.7,1.2,3.9,1.2,3.9,6.9,5.9,12.7,200.7,70.6,2.3,17.3,5.93,5.0,6.8
