Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,NY/A,ANY/A,Sk%
1,Pittsburgh Steelers,16,236,460,51.3,2500,9,2.0,24,5.2,5.9,4.0,11.6,156.3,54.3,34,228,5.1,3.2,6.9
2,Dallas Cowboys,16,271,470,57.7,2639,12,2.6,11,2.3,6.2,5.7,10.8,164.9,74.9,36,292,5.2,4.7,7.1
3,Minnesota Vikings,16,218,422,51.7,2643,20,4.7,22,5.2,6.9,5.5,13.4,165.2,68.0,47,277,5.6,4.4,10.0
4,Los Angeles Raiders,16,246,437,56.3,2697,20,4.6,13,3.0,6.9,6.5,12.3,168.6,80.8,48,335,5.6,5.2,9.9
5,Miami Dolphins,16,257,462,55.6,2716,14,3.0,19,4.1,6.6,5.4,11.9,169.8,69.0,45,348,5.4,4.2,8.9
6,New York Giants,16,278,496,56.0,2747,12,2.4,23,4.6,5.9,4.3,10.6,171.7,62.2,30,186,5.2,3.7,5.7
7,Buffalo Bills,16,254,455,55.8,2799,17,3.7,18,4.0,6.9,5.8,12.3,174.9,73.2,43,326,5.6,4.7,8.6
8,Phoenix Cardinals,16,233,402,58.0,2898,29,7.2,16,4.0,7.8,7.4,13.4,181.1,90.3,36,232,6.6,6.3,8.2
9,San Diego Chargers,16,254,462,55.0,2910,22,4.8,19,4.1,7.0,6.1,12.8,181.9,76.0,45,345,5.7,4.9,8.9
10,Chicago Bears,16,258,495,52.1,2920,19,3.8,31,6.3,6.5,4.5,12.5,182.5,59.3,41,300,5.4,3.6,7.6
11,Seattle Seahawks,16,300,504,59.5,3004,19,3.8,12,2.4,6.5,6.1,10.9,187.8,81.3,33,252,5.6,5.3,6.1
12,San Francisco 49ers,16,265,522,50.8,3015,17,3.3,17,3.3,6.3,5.5,12.4,188.4,67.8,44,263,5.3,4.6,7.8
13,New England Patriots,16,218,374,58.3,3021,21,5.6,14,3.7,8.7,8.1,14.9,188.8,89.9,33,224,7.4,6.9,8.1
14,Houston Oilers,16,267,460,58.0,3060,18,3.9,21,4.6,7.2,6.0,12.5,191.3,74.7,38,272,6.1,5.0,7.6
15,Cleveland Browns,16,253,444,57.0,3085,32,7.2,13,2.9,7.4,7.5,13.0,192.8,92.3,32,211,6.5,6.6,6.7
16,Washington Redskins,16,281,514,54.7,3143,21,4.1,21,4.1,6.8,5.8,12.4,196.4,72.5,45,340,5.6,4.7,8.1
17,Kansas City Chiefs,16,267,512,52.1,3241,16,3.1,20,3.9,7.2,6.0,13.7,202.6,69.5,60,421,5.7,4.7,10.5
18,Tampa Bay Buccaneers,16,263,471,55.8,3256,22,4.7,25,5.3,7.3,5.9,13.2,203.5,72.7,34,204,6.4,5.1,6.7
19,New Orleans Saints,16,316,534,59.2,3319,21,3.9,8,1.5,6.7,6.8,11.3,207.4,86.2,42,265,5.8,5.9,7.3
20,Detroit Lions,16,319,507,62.9,3346,21,4.1,17,3.4,7.1,6.5,11.4,209.1,84.1,41,279,6.1,5.5,7.5
21,Denver Broncos,16,284,479,59.3,3382,22,4.6,10,2.1,7.7,7.6,12.9,211.4,90.0,34,289,6.6,6.6,6.6
22,Green Bay Packers,16,256,479,53.4,3383,20,4.2,16,3.3,7.4,6.8,13.9,211.4,77.5,27,172,6.7,6.1,5.3
23,Indianapolis Colts,16,301,492,61.2,3402,20,4.1,9,1.8,7.3,7.3,12.0,212.6,89.5,29,203,6.5,6.5,5.6
24,New York Jets,16,311,516,60.3,3437,23,4.5,18,3.5,7.3,6.6,12.0,214.8,82.9,38,308,6.2,5.6,6.9
25,Philadelphia Eagles,16,273,566,48.2,3491,23,4.1,19,3.4,6.7,6.0,13.8,218.2,69.6,45,280,5.7,5.1,7.4
26,Cincinnati Bengals,16,300,543,55.2,3520,24,4.4,15,2.8,6.9,6.5,12.4,220.0,79.9,25,205,6.2,5.9,4.4
27,Los Angeles Rams,16,296,501,59.1,3762,30,6.0,12,2.4,7.9,8.0,13.3,235.1,94.1,30,180,7.1,7.2,5.6
28,Atlanta Falcons,16,297,537,55.3,3913,31,5.8,17,3.2,7.7,7.4,13.9,244.6,86.2,33,214,6.9,6.6,5.8
,Avg Team,,270.4,482.7,56.0,3116.0,20.5,4.3,17.1,3.6,7.0,6.3,12.5,194.8,75.0,38.1,266.1,5.98,5.3,7.3
,League Total,,7572,13516,56.0,87249,575,4.3,480,3.6,7.0,6.3,12.5,194.8,75.0,1068,7451,5.98,5.3,7.3
,Avg Tm/G,,16.9,30.2,56.0,194.8,1.3,4.3,1.1,3.6,7.0,6.3,12.5,194.8,75.0,2.4,16.6,5.98,5.3,7.3
